# callback_metrics keys:
# PSNR/B100
# PSNR/Set14
# PSNR/Set5
# PSNR/Urban100
# SSIM/B100
# SSIM/Set14
# SSIM/Set5
# SSIM/Urban100
# Val_loss/B100
# Val_loss/B100_epoch
# Val_loss/Set14
# Val_loss/Set14_epoch
# Val_loss/Set5
# Val_loss/Set5_epoch
# Val_loss/Urban100
# Val_loss/Urban100_epoch
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=1.77 | mem=248.9 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.057, psnr_urban100=26.141, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=11.95 | mem=250.8 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=12.11 | mem=250.8 | psnr_b100=27.621, psnr_set14=28.303, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=11.92 | mem=250.8 | psnr_b100=27.618, psnr_set14=28.302, psnr_set5=32.055, psnr_urban100=26.139, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
# epoch | train_loss | val_loss | PSNR | SSIM | LPIPS | BestPSNR | LR | GradNorm | Wμbits | Aμbits | t_train(s) | t_val(s) | gpu_mem(MB) | SRBench(psnr/ssim...)
# callback_metrics keys:
#
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=1.17 | mem=250.8 |
     0 | train=0.000789 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00036 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.70 | t_val=6.92 | mem=383.8 | psnr_b100=27.620, psnr_set14=28.301, psnr_set5=32.344, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     1 | train=0.000817 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00074 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.48 | t_val=6.83 | mem=383.9 | psnr_b100=27.617, psnr_set14=28.305, psnr_set5=32.339, psnr_urban100=26.134, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     2 | train=0.001042 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00112 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.50 | t_val=6.85 | mem=383.9 | psnr_b100=27.617, psnr_set14=28.288, psnr_set5=32.346, psnr_urban100=26.120, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.915, ssim_urban100=0.963 |
     3 | train=0.001542 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.0015 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.51 | t_val=6.85 | mem=383.9 | psnr_b100=27.607, psnr_set14=28.285, psnr_set5=32.306, psnr_urban100=26.107, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     4 | train=0.001306 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00188 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.57 | t_val=6.83 | mem=383.9 | psnr_b100=27.614, psnr_set14=28.286, psnr_set5=32.345, psnr_urban100=26.114, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     5 | train=0.001676 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00226 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.47 | t_val=6.82 | mem=383.9 | psnr_b100=27.593, psnr_set14=28.273, psnr_set5=32.334, psnr_urban100=26.064, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |
     6 | train=0.001994 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00264 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.48 | t_val=6.83 | mem=383.9 | psnr_b100=27.580, psnr_set14=28.261, psnr_set5=32.335, psnr_urban100=26.061, ssim_b100=0.737, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
     7 | train=0.001819 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00302 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.49 | t_val=6.83 | mem=383.9 | psnr_b100=27.556, psnr_set14=28.216, psnr_set5=32.215, psnr_urban100=26.012, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.912, ssim_urban100=0.962 |
     8 | train=0.002467 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.0034 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.51 | t_val=6.87 | mem=383.9 | psnr_b100=27.563, psnr_set14=28.224, psnr_set5=32.251, psnr_urban100=25.994, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.962 |
     9 | train=0.003772 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00378 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.46 | t_val=6.81 | mem=383.9 | psnr_b100=27.549, psnr_set14=28.225, psnr_set5=32.222, psnr_urban100=25.944, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.961 |
    10 | train=0.003465 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00416 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.48 | t_val=6.83 | mem=383.9 | psnr_b100=27.531, psnr_set14=28.189, psnr_set5=32.159, psnr_urban100=25.942, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.961 |
    11 | train=0.004764 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00454 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.47 | t_val=6.81 | mem=383.9 | psnr_b100=27.493, psnr_set14=28.142, psnr_set5=32.180, psnr_urban100=25.861, ssim_b100=0.734, ssim_set14=0.858, ssim_set5=0.912, ssim_urban100=0.960 |
    12 | train=0.004092 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00492 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.45 | t_val=6.81 | mem=383.9 | psnr_b100=27.451, psnr_set14=28.123, psnr_set5=32.063, psnr_urban100=25.758, ssim_b100=0.733, ssim_set14=0.857, ssim_set5=0.910, ssim_urban100=0.959 |
    13 | train=0.003962 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.0053 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.45 | t_val=6.81 | mem=383.9 | psnr_b100=27.427, psnr_set14=28.026, psnr_set5=32.041, psnr_urban100=25.688, ssim_b100=0.731, ssim_set14=0.856, ssim_set5=0.910, ssim_urban100=0.958 |
    14 | train=0.005020 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00568 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.50 | t_val=6.86 | mem=383.9 | psnr_b100=27.417, psnr_set14=28.006, psnr_set5=31.984, psnr_urban100=25.687, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.908, ssim_urban100=0.958 |
    15 | train=0.005705 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00606 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.49 | t_val=6.85 | mem=383.9 | psnr_b100=27.447, psnr_set14=28.082, psnr_set5=32.064, psnr_urban100=25.732, ssim_b100=0.731, ssim_set14=0.857, ssim_set5=0.910, ssim_urban100=0.959 |
    16 | train=0.004996 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00644 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.47 | t_val=6.83 | mem=383.9 | psnr_b100=27.394, psnr_set14=28.014, psnr_set5=32.049, psnr_urban100=25.645, ssim_b100=0.731, ssim_set14=0.856, ssim_set5=0.909, ssim_urban100=0.957 |
    17 | train=0.004737 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00682 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.46 | t_val=6.82 | mem=383.9 | psnr_b100=27.349, psnr_set14=27.947, psnr_set5=31.902, psnr_urban100=25.585, ssim_b100=0.728, ssim_set14=0.855, ssim_set5=0.906, ssim_urban100=0.958 |
    18 | train=0.006887 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.0072 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.46 | t_val=6.82 | mem=383.9 | psnr_b100=27.367, psnr_set14=27.993, psnr_set5=31.935, psnr_urban100=25.597, ssim_b100=0.729, ssim_set14=0.855, ssim_set5=0.907, ssim_urban100=0.957 |
