# callback_metrics keys:
# PSNR/B100
# PSNR/Set14
# PSNR/Set5
# PSNR/Urban100
# SSIM/B100
# SSIM/Set14
# SSIM/Set5
# SSIM/Urban100
# Val_loss/B100
# Val_loss/B100_epoch
# Val_loss/Set14
# Val_loss/Set14_epoch
# Val_loss/Set5
# Val_loss/Set5_epoch
# Val_loss/Urban100
# Val_loss/Urban100_epoch
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=1.76 | mem=248.9 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.057, psnr_urban100=26.141, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=11.90 | mem=250.8 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=12.16 | mem=250.8 | psnr_b100=27.621, psnr_set14=28.303, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=11.96 | mem=250.8 | psnr_b100=27.618, psnr_set14=28.302, psnr_set5=32.055, psnr_urban100=26.139, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
# epoch | train_loss | val_loss | PSNR | SSIM | LPIPS | BestPSNR | LR | GradNorm | Wμbits | Aμbits | t_train(s) | t_val(s) | gpu_mem(MB) | SRBench(psnr/ssim...)
# callback_metrics keys:
#
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=1.14 | mem=250.8 |
     0 | train=0.000754 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00072 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.64 | t_val=6.86 | mem=383.8 | psnr_b100=27.617, psnr_set14=28.299, psnr_set5=32.345, psnr_urban100=26.133, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     1 | train=0.001050 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00148 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.41 | t_val=6.76 | mem=383.9 | psnr_b100=27.617, psnr_set14=28.295, psnr_set5=32.347, psnr_urban100=26.123, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     2 | train=0.001028 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00224 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.42 | t_val=6.77 | mem=383.9 | psnr_b100=27.610, psnr_set14=28.294, psnr_set5=32.319, psnr_urban100=26.099, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     3 | train=0.001828 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.003 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.40 | t_val=6.74 | mem=383.9 | psnr_b100=27.593, psnr_set14=28.244, psnr_set5=32.296, psnr_urban100=26.094, ssim_b100=0.737, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
     4 | train=0.003187 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00376 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.56 | t_val=6.81 | mem=383.9 | psnr_b100=27.564, psnr_set14=28.227, psnr_set5=32.240, psnr_urban100=26.003, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.912, ssim_urban100=0.961 |
     5 | train=0.003222 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00452 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.43 | t_val=6.79 | mem=383.9 | psnr_b100=27.553, psnr_set14=28.215, psnr_set5=32.289, psnr_urban100=25.998, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.961 |
     6 | train=0.003797 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00528 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.43 | t_val=6.78 | mem=383.9 | psnr_b100=27.489, psnr_set14=28.124, psnr_set5=32.112, psnr_urban100=25.794, ssim_b100=0.733, ssim_set14=0.858, ssim_set5=0.911, ssim_urban100=0.959 |
     7 | train=0.004283 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00604 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.40 | t_val=6.76 | mem=383.9 | psnr_b100=27.482, psnr_set14=28.137, psnr_set5=32.104, psnr_urban100=25.853, ssim_b100=0.734, ssim_set14=0.858, ssim_set5=0.911, ssim_urban100=0.960 |
