    17 | train=0.005513 | val=nan | lr=0.00682 | t_train=12.75 | t_val=12.11 | mem=383.9 | psnr_b100=27.350, psnr_set14=27.925, psnr_set5=31.905, psnr_urban100=25.602, ssim_b100=0.729, ssim_set14=0.853, ssim_set5=0.905, ssim_urban100=0.957 |
    18 | train=0.006481 | val=nan | lr=0.0072 | t_train=12.80 | t_val=12.15 | mem=383.9 | psnr_b100=27.310, psnr_set14=27.945, psnr_set5=31.963, psnr_urban100=25.562, ssim_b100=0.728, ssim_set14=0.854, ssim_set5=0.907, ssim_urban100=0.957 |
    19 | train=0.007439 | val=nan | lr=0.00758 | t_train=12.79 | t_val=12.14 | mem=383.9 | psnr_b100=27.373, psnr_set14=27.976, psnr_set5=31.893, psnr_urban100=25.595, ssim_b100=0.728, ssim_set14=0.854, ssim_set5=0.906, ssim_urban100=0.958 |
    20 | train=0.013164 | val=nan | lr=0.00796 | t_train=12.75 | t_val=12.10 | mem=383.9 | psnr_b100=27.161, psnr_set14=27.751, psnr_set5=31.340, psnr_urban100=25.325, ssim_b100=0.708, ssim_set14=0.837, ssim_set5=0.880, ssim_urban100=0.953 |
    21 | train=0.016492 | val=nan | lr=0.00834 | t_train=12.76 | t_val=12.11 | mem=383.9 | psnr_b100=26.957, psnr_set14=27.433, psnr_set5=30.986, psnr_urban100=25.034, ssim_b100=0.697, ssim_set14=0.835, ssim_set5=0.879, ssim_urban100=0.952 |
    22 | train=0.009932 | val=nan | lr=0.00872 | t_train=12.78 | t_val=12.13 | mem=383.9 | psnr_b100=27.248, psnr_set14=27.862, psnr_set5=31.620, psnr_urban100=25.342, ssim_b100=0.721, ssim_set14=0.848, ssim_set5=0.897, ssim_urban100=0.955 |
    23 | train=0.008010 | val=nan | lr=0.0091 | t_train=12.85 | t_val=12.09 | mem=383.9 | psnr_b100=27.226, psnr_set14=27.763, psnr_set5=31.576, psnr_urban100=25.259, ssim_b100=0.726, ssim_set14=0.852, ssim_set5=0.902, ssim_urban100=0.955 |
    24 | train=0.009946 | val=nan | lr=0.00948 | t_train=12.77 | t_val=12.11 | mem=383.9 | psnr_b100=27.251, psnr_set14=27.810, psnr_set5=31.629, psnr_urban100=25.406, ssim_b100=0.725, ssim_set14=0.852, ssim_set5=0.902, ssim_urban100=0.956 |
    25 | train=0.009396 | val=nan | lr=0.00986 | t_train=12.76 | t_val=12.11 | mem=383.9 | psnr_b100=27.135, psnr_set14=27.637, psnr_set5=31.329, psnr_urban100=25.137, ssim_b100=0.720, ssim_set14=0.846, ssim_set5=0.892, ssim_urban100=0.953 |
    26 | train=0.015775 | val=nan | lr=0.01 | t_train=12.79 | t_val=12.15 | mem=383.9 | psnr_b100=27.235, psnr_set14=27.750, psnr_set5=31.633, psnr_urban100=25.323, ssim_b100=0.723, ssim_set14=0.850, ssim_set5=0.898, ssim_urban100=0.956 |
    27 | train=0.026017 | val=nan | lr=0.01 | t_train=12.90 | t_val=12.26 | mem=383.9 | psnr_b100=27.070, psnr_set14=27.695, psnr_set5=31.371, psnr_urban100=25.194, ssim_b100=0.722, ssim_set14=0.851, ssim_set5=0.901, ssim_urban100=0.955 |
    28 | train=0.034418 | val=nan | lr=0.01 | t_train=12.74 | t_val=12.09 | mem=383.9 | psnr_b100=27.220, psnr_set14=27.781, psnr_set5=31.609, psnr_urban100=25.291, ssim_b100=0.723, ssim_set14=0.850, ssim_set5=0.901, ssim_urban100=0.955 |
    29 | train=0.048662 | val=nan | lr=0.01 | t_train=12.75 | t_val=12.11 | mem=383.9 | psnr_b100=27.171, psnr_set14=27.719, psnr_set5=31.429, psnr_urban100=25.224, ssim_b100=0.721, ssim_set14=0.850, ssim_set5=0.897, ssim_urban100=0.954 |
    30 | train=0.048186 | val=nan | lr=0.01 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=27.076, psnr_set14=27.620, psnr_set5=31.355, psnr_urban100=25.109, ssim_b100=0.712, ssim_set14=0.843, ssim_set5=0.889, ssim_urban100=0.953 |
    31 | train=0.055720 | val=nan | lr=0.01 | t_train=12.80 | t_val=12.15 | mem=383.9 | psnr_b100=27.121, psnr_set14=27.607, psnr_set5=31.440, psnr_urban100=25.121, ssim_b100=0.720, ssim_set14=0.849, ssim_set5=0.898, ssim_urban100=0.953 |
    32 | train=0.056283 | val=nan | lr=0.01 | t_train=12.80 | t_val=12.14 | mem=383.9 | psnr_b100=27.052, psnr_set14=27.542, psnr_set5=31.125, psnr_urban100=25.057, ssim_b100=0.717, ssim_set14=0.848, ssim_set5=0.895, ssim_urban100=0.953 |
    33 | train=0.056460 | val=nan | lr=0.01 | t_train=12.73 | t_val=12.08 | mem=383.9 | psnr_b100=27.203, psnr_set14=27.797, psnr_set5=31.492, psnr_urban100=25.164, ssim_b100=0.722, ssim_set14=0.849, ssim_set5=0.895, ssim_urban100=0.954 |
