# callback_metrics keys:
# PSNR/B100
# PSNR/Set14
# PSNR/Set5
# PSNR/Urban100
# SSIM/B100
# SSIM/Set14
# SSIM/Set5
# SSIM/Urban100
# Val_loss/B100
# Val_loss/B100_epoch
# Val_loss/Set14
# Val_loss/Set14_epoch
# Val_loss/Set5
# Val_loss/Set5_epoch
# Val_loss/Urban100
# Val_loss/Urban100_epoch
    10 | train=0.004674 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00832 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.48 | t_val=6.84 | mem=383.9 | psnr_b100=27.358, psnr_set14=27.992, psnr_set5=32.012, psnr_urban100=25.594, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.910, ssim_urban100=0.957 |
    11 | train=0.006259 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00908 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.49 | t_val=6.85 | mem=383.9 | psnr_b100=27.419, psnr_set14=28.018, psnr_set5=32.009, psnr_urban100=25.669, ssim_b100=0.732, ssim_set14=0.857, ssim_set5=0.910, ssim_urban100=0.958 |
    12 | train=0.006868 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00984 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.49 | t_val=6.85 | mem=383.9 | psnr_b100=27.401, psnr_set14=28.006, psnr_set5=32.002, psnr_urban100=25.636, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.908, ssim_urban100=0.958 |
    13 | train=0.012989 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.0106 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.52 | t_val=6.87 | mem=383.9 | psnr_b100=27.052, psnr_set14=27.530, psnr_set5=31.197, psnr_urban100=25.034, ssim_b100=0.710, ssim_set14=0.844, ssim_set5=0.891, ssim_urban100=0.952 |
    14 | train=0.010652 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.01136 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.53 | t_val=6.88 | mem=383.9 | psnr_b100=27.069, psnr_set14=27.469, psnr_set5=31.070, psnr_urban100=25.137, ssim_b100=0.710, ssim_set14=0.832, ssim_set5=0.875, ssim_urban100=0.953 |
    15 | train=0.012537 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.01212 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.45 | t_val=6.80 | mem=383.9 | psnr_b100=27.078, psnr_set14=27.516, psnr_set5=31.040, psnr_urban100=25.171, ssim_b100=0.715, ssim_set14=0.844, ssim_set5=0.888, ssim_urban100=0.955 |
    16 | train=0.012342 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.01288 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.50 | t_val=6.86 | mem=383.9 | psnr_b100=26.999, psnr_set14=27.403, psnr_set5=31.061, psnr_urban100=24.939, ssim_b100=0.711, ssim_set14=0.841, ssim_set5=0.886, ssim_urban100=0.952 |
    17 | train=0.011518 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.01364 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.50 | t_val=6.84 | mem=383.9 | psnr_b100=27.103, psnr_set14=27.505, psnr_set5=31.173, psnr_urban100=25.027, ssim_b100=0.715, ssim_set14=0.843, ssim_set5=0.886, ssim_urban100=0.952 |
    18 | train=0.013690 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.0144 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.53 | t_val=6.87 | mem=383.9 | psnr_b100=26.967, psnr_set14=27.375, psnr_set5=30.790, psnr_urban100=24.935, ssim_b100=0.712, ssim_set14=0.841, ssim_set5=0.885, ssim_urban100=0.952 |
    19 | train=0.013035 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.01516 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.48 | t_val=6.83 | mem=383.9 | psnr_b100=27.007, psnr_set14=27.484, psnr_set5=31.084, psnr_urban100=24.950, ssim_b100=0.707, ssim_set14=0.839, ssim_set5=0.883, ssim_urban100=0.951 |
    20 | train=0.021793 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.01592 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.53 | t_val=6.88 | mem=383.9 | psnr_b100=26.513, psnr_set14=26.936, psnr_set5=30.222, psnr_urban100=24.475, ssim_b100=0.692, ssim_set14=0.833, ssim_set5=0.867, ssim_urban100=0.949 |
    21 | train=0.024890 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.01668 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.50 | t_val=6.85 | mem=383.9 | psnr_b100=26.260, psnr_set14=26.601, psnr_set5=29.752, psnr_urban100=24.245, ssim_b100=0.639, ssim_set14=0.811, ssim_set5=0.840, ssim_urban100=0.943 |
    22 | train=3.035383 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.01744 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.53 | t_val=6.88 | mem=383.9 | psnr_b100=11.271, psnr_set14=11.017, psnr_set5=11.199, psnr_urban100=10.876, ssim_b100=0.027, ssim_set14=0.100, ssim_set5=0.070, ssim_urban100=0.399 |
    23 | train=3.772705 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.0182 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.49 | t_val=6.83 | mem=383.9 | psnr_b100=9.413, psnr_set14=8.702, psnr_set5=8.817, psnr_urban100=8.685, ssim_b100=0.018, ssim_set14=0.057, ssim_set5=0.043, ssim_urban100=0.135 |
    24 | train=3.482482 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.01896 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.50 | t_val=6.86 | mem=383.9 | psnr_b100=9.960, psnr_set14=9.626, psnr_set5=9.250, psnr_urban100=9.302, ssim_b100=0.015, ssim_set14=0.042, ssim_set5=0.026, ssim_urban100=0.168 |
