# callback_metrics keys:
# PSNR/B100
# PSNR/Set14
# PSNR/Set5
# PSNR/Urban100
# SSIM/B100
# SSIM/Set14
# SSIM/Set5
# SSIM/Urban100
# Val_loss/B100
# Val_loss/B100_epoch
# Val_loss/Set14
# Val_loss/Set14_epoch
# Val_loss/Set5
# Val_loss/Set5_epoch
# Val_loss/Urban100
# Val_loss/Urban100_epoch
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=1.76 | mem=248.9 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.057, psnr_urban100=26.141, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=11.77 | mem=250.8 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=12.01 | mem=250.8 | psnr_b100=27.621, psnr_set14=28.303, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=11.85 | mem=250.8 | psnr_b100=27.618, psnr_set14=28.302, psnr_set5=32.055, psnr_urban100=26.139, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
# epoch | train_loss | val_loss | PSNR | SSIM | LPIPS | BestPSNR | LR | GradNorm | Wμbits | Aμbits | t_train(s) | t_val(s) | gpu_mem(MB) | SRBench(psnr/ssim...)
# callback_metrics keys:
#
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=1.17 | mem=250.8 |
     0 | train=0.000797 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00036 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.70 | t_val=6.93 | mem=383.8 | psnr_b100=27.619, psnr_set14=28.300, psnr_set5=32.350, psnr_urban100=26.137, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     1 | train=0.000743 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00074 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.51 | t_val=6.86 | mem=383.9 | psnr_b100=27.618, psnr_set14=28.290, psnr_set5=32.340, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     2 | train=0.001344 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00112 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.52 | t_val=6.85 | mem=383.9 | psnr_b100=27.608, psnr_set14=28.297, psnr_set5=32.353, psnr_urban100=26.117, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |
     3 | train=0.001611 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.0015 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.48 | t_val=6.82 | mem=383.9 | psnr_b100=27.604, psnr_set14=28.284, psnr_set5=32.326, psnr_urban100=26.096, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |
     4 | train=0.002036 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00188 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.60 | t_val=6.84 | mem=383.9 | psnr_b100=27.607, psnr_set14=28.281, psnr_set5=32.332, psnr_urban100=26.081, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |
     5 | train=0.001520 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00226 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.51 | t_val=6.86 | mem=383.9 | psnr_b100=27.597, psnr_set14=28.275, psnr_set5=32.323, psnr_urban100=26.062, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |
     6 | train=0.002320 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00264 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.52 | t_val=6.87 | mem=383.9 | psnr_b100=27.586, psnr_set14=28.269, psnr_set5=32.298, psnr_urban100=26.031, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
     7 | train=0.002394 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00302 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.54 | t_val=6.89 | mem=383.9 | psnr_b100=27.585, psnr_set14=28.265, psnr_set5=32.277, psnr_urban100=26.050, ssim_b100=0.737, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.962 |
     8 | train=0.002639 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.0034 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.49 | t_val=6.84 | mem=383.9 | psnr_b100=27.583, psnr_set14=28.231, psnr_set5=32.303, psnr_urban100=26.051, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
     9 | train=0.004238 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00378 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.49 | t_val=6.84 | mem=383.9 | psnr_b100=27.556, psnr_set14=28.211, psnr_set5=32.236, psnr_urban100=26.027, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.962 |
    10 | train=0.002945 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00416 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.52 | t_val=6.87 | mem=383.9 | psnr_b100=27.469, psnr_set14=28.083, psnr_set5=32.053, psnr_urban100=25.793, ssim_b100=0.733, ssim_set14=0.857, ssim_set5=0.911, ssim_urban100=0.960 |
    11 | train=0.005702 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00454 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.51 | t_val=6.86 | mem=383.9 | psnr_b100=27.487, psnr_set14=28.113, psnr_set5=32.177, psnr_urban100=25.844, ssim_b100=0.733, ssim_set14=0.858, ssim_set5=0.912, ssim_urban100=0.960 |
    12 | train=0.003679 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00492 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.51 | t_val=6.86 | mem=383.9 | psnr_b100=27.492, psnr_set14=28.147, psnr_set5=32.127, psnr_urban100=25.809, ssim_b100=0.732, ssim_set14=0.857, ssim_set5=0.911, ssim_urban100=0.959 |
    13 | train=0.004379 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.0053 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.48 | t_val=6.83 | mem=383.9 | psnr_b100=27.501, psnr_set14=28.102, psnr_set5=32.128, psnr_urban100=25.857, ssim_b100=0.733, ssim_set14=0.858, ssim_set5=0.911, ssim_urban100=0.960 |
    14 | train=0.004869 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00568 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.48 | t_val=6.84 | mem=383.9 | psnr_b100=27.443, psnr_set14=28.068, psnr_set5=32.015, psnr_urban100=25.711, ssim_b100=0.731, ssim_set14=0.856, ssim_set5=0.909, ssim_urban100=0.958 |
    15 | train=0.004806 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00606 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.52 | t_val=6.86 | mem=383.9 | psnr_b100=27.459, psnr_set14=28.101, psnr_set5=32.065, psnr_urban100=25.782, ssim_b100=0.733, ssim_set14=0.857, ssim_set5=0.910, ssim_urban100=0.960 |
    16 | train=0.005027 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00644 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.52 | t_val=6.85 | mem=383.9 | psnr_b100=27.366, psnr_set14=28.052, psnr_set5=31.940, psnr_urban100=25.519, ssim_b100=0.729, ssim_set14=0.855, ssim_set5=0.907, ssim_urban100=0.957 |
    17 | train=0.006734 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00682 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.51 | t_val=6.85 | mem=383.9 | psnr_b100=27.398, psnr_set14=27.972, psnr_set5=31.878, psnr_urban100=25.537, ssim_b100=0.730, ssim_set14=0.855, ssim_set5=0.907, ssim_urban100=0.957 |
    18 | train=0.006692 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.0072 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=7.47 | t_val=6.82 | mem=383.9 | psnr_b100=27.384, psnr_set14=27.992, psnr_set5=31.956, psnr_urban100=25.615, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.909, ssim_urban100=0.958 |
