    17 | train=0.013094 | val=nan | lr=0.01364 | t_train=12.70 | t_val=12.06 | mem=383.9 | psnr_b100=26.789, psnr_set14=27.186, psnr_set5=30.482, psnr_urban100=24.774, ssim_b100=0.684, ssim_set14=0.827, ssim_set5=0.859, ssim_urban100=0.950 |
    18 | train=0.012569 | val=nan | lr=0.0144 | t_train=12.71 | t_val=12.05 | mem=383.9 | psnr_b100=27.067, psnr_set14=27.525, psnr_set5=31.178, psnr_urban100=25.033, ssim_b100=0.707, ssim_set14=0.841, ssim_set5=0.883, ssim_urban100=0.952 |
    19 | train=0.018678 | val=nan | lr=0.01516 | t_train=12.74 | t_val=12.09 | mem=383.9 | psnr_b100=27.003, psnr_set14=27.393, psnr_set5=31.017, psnr_urban100=24.975, ssim_b100=0.705, ssim_set14=0.837, ssim_set5=0.876, ssim_urban100=0.952 |
    20 | train=0.014504 | val=nan | lr=0.01592 | t_train=12.70 | t_val=12.04 | mem=383.9 | psnr_b100=27.039, psnr_set14=27.335, psnr_set5=30.886, psnr_urban100=24.998, ssim_b100=0.710, ssim_set14=0.839, ssim_set5=0.880, ssim_urban100=0.952 |
    21 | train=0.014713 | val=nan | lr=0.01668 | t_train=12.72 | t_val=12.06 | mem=383.9 | psnr_b100=27.004, psnr_set14=27.364, psnr_set5=31.012, psnr_urban100=24.922, ssim_b100=0.704, ssim_set14=0.838, ssim_set5=0.878, ssim_urban100=0.950 |
    22 | train=0.017032 | val=nan | lr=0.01744 | t_train=12.64 | t_val=11.98 | mem=383.9 | psnr_b100=26.956, psnr_set14=27.361, psnr_set5=30.933, psnr_urban100=24.874, ssim_b100=0.703, ssim_set14=0.839, ssim_set5=0.880, ssim_urban100=0.950 |
    23 | train=0.027771 | val=nan | lr=0.0182 | t_train=12.84 | t_val=12.09 | mem=383.9 | psnr_b100=26.499, psnr_set14=26.842, psnr_set5=29.881, psnr_urban100=24.498, ssim_b100=0.674, ssim_set14=0.822, ssim_set5=0.848, ssim_urban100=0.947 |
    24 | train=0.028667 | val=nan | lr=0.01896 | t_train=12.69 | t_val=12.05 | mem=383.9 | psnr_b100=25.983, psnr_set14=25.998, psnr_set5=28.674, psnr_urban100=23.937, ssim_b100=0.621, ssim_set14=0.770, ssim_set5=0.785, ssim_urban100=0.938 |
    25 | train=0.246348 | val=nan | lr=0.01972 | t_train=12.73 | t_val=12.08 | mem=383.9 | psnr_b100=11.742, psnr_set14=10.929, psnr_set5=11.181, psnr_urban100=10.341, ssim_b100=0.079, ssim_set14=0.190, ssim_set5=0.164, ssim_urban100=0.418 |
    26 | train=1.545338 | val=nan | lr=0.02 | t_train=12.78 | t_val=12.12 | mem=383.9 | psnr_b100=10.226, psnr_set14=9.719, psnr_set5=9.031, psnr_urban100=9.356, ssim_b100=0.026, ssim_set14=0.092, ssim_set5=0.060, ssim_urban100=0.185 |
    27 | train=2.160968 | val=nan | lr=0.02 | t_train=12.78 | t_val=12.12 | mem=383.9 | psnr_b100=9.983, psnr_set14=10.039, psnr_set5=10.036, psnr_urban100=9.868, ssim_b100=0.022, ssim_set14=0.093, ssim_set5=0.069, ssim_urban100=0.307 |
    28 | train=1.614311 | val=nan | lr=0.02 | t_train=12.71 | t_val=12.06 | mem=383.9 | psnr_b100=15.899, psnr_set14=15.275, psnr_set5=14.376, psnr_urban100=14.818, ssim_b100=0.146, ssim_set14=0.324, ssim_set5=0.230, ssim_urban100=0.663 |
    29 | train=1.505206 | val=nan | lr=0.02 | t_train=12.75 | t_val=12.08 | mem=383.9 | psnr_b100=18.378, psnr_set14=17.693, psnr_set5=17.892, psnr_urban100=17.339, ssim_b100=0.177, ssim_set14=0.460, ssim_set5=0.325, ssim_urban100=0.779 |
    30 | train=1.298717 | val=nan | lr=0.02 | t_train=12.71 | t_val=12.05 | mem=383.9 | psnr_b100=19.451, psnr_set14=19.112, psnr_set5=19.452, psnr_urban100=18.531, ssim_b100=0.200, ssim_set14=0.501, ssim_set5=0.382, ssim_urban100=0.854 |
    31 | train=0.957019 | val=nan | lr=0.02 | t_train=12.67 | t_val=12.01 | mem=383.9 | psnr_b100=20.089, psnr_set14=19.782, psnr_set5=20.709, psnr_urban100=18.943, ssim_b100=0.246, ssim_set14=0.510, ssim_set5=0.430, ssim_urban100=0.854 |
    32 | train=0.570815 | val=nan | lr=0.02 | t_train=12.72 | t_val=12.06 | mem=383.9 | psnr_b100=21.970, psnr_set14=21.993, psnr_set5=23.050, psnr_urban100=20.526, ssim_b100=0.318, ssim_set14=0.589, ssim_set5=0.512, ssim_urban100=0.866 |
    33 | train=0.363286 | val=nan | lr=0.02 | t_train=12.70 | t_val=12.05 | mem=383.9 | psnr_b100=21.516, psnr_set14=20.957, psnr_set5=22.224, psnr_urban100=19.878, ssim_b100=0.378, ssim_set14=0.626, ssim_set5=0.564, ssim_urban100=0.871 |
    34 | train=0.210806 | val=nan | lr=0.02 | t_train=12.81 | t_val=12.08 | mem=383.9 | psnr_b100=21.186, psnr_set14=20.925, psnr_set5=21.760, psnr_urban100=19.721, ssim_b100=0.292, ssim_set14=0.524, ssim_set5=0.447, ssim_urban100=0.861 |
    35 | train=0.136218 | val=nan | lr=0.02 | t_train=12.73 | t_val=12.07 | mem=383.9 | psnr_b100=16.587, psnr_set14=16.427, psnr_set5=17.166, psnr_urban100=15.980, ssim_b100=0.300, ssim_set14=0.516, ssim_set5=0.450, ssim_urban100=0.798 |
    36 | train=0.109947 | val=nan | lr=0.02 | t_train=12.75 | t_val=12.11 | mem=383.9 | psnr_b100=21.335, psnr_set14=20.909, psnr_set5=21.775, psnr_urban100=19.930, ssim_b100=0.304, ssim_set14=0.577, ssim_set5=0.485, ssim_urban100=0.859 |
    37 | train=0.063515 | val=nan | lr=0.02 | t_train=12.77 | t_val=12.11 | mem=383.9 | psnr_b100=23.762, psnr_set14=23.996, psnr_set5=25.900, psnr_urban100=21.804, ssim_b100=0.497, ssim_set14=0.712, ssim_set5=0.683, ssim_urban100=0.897 |
    38 | train=0.055050 | val=nan | lr=0.02 | t_train=12.74 | t_val=12.09 | mem=383.9 | psnr_b100=24.825, psnr_set14=24.628, psnr_set5=26.453, psnr_urban100=22.531, ssim_b100=0.530, ssim_set14=0.709, ssim_set5=0.676, ssim_urban100=0.908 |
