    41 | base=0.058382 | val=0.269286 | acc1=0.9172 | Wμ=5.413 | Aμ=6.649 | Wmax=6.600 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    43 | base=0.082806 | val=0.268429 | acc1=0.9170 | Wμ=5.058 | Aμ=6.397 | Wmax=6.304 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    45 | base=0.067503 | val=0.275203 | acc1=0.9136 | Wμ=4.711 | Aμ=6.179 | Wmax=6.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    47 | base=0.065455 | val=0.297082 | acc1=0.9078 | Wμ=4.367 | Aμ=5.984 | Wmax=5.728 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    49 | base=0.078014 | val=0.275487 | acc1=0.9155 | Wμ=4.033 | Aμ=5.792 | Wmax=5.426 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    51 | base=0.085346 | val=0.304367 | acc1=0.9034 | Wμ=3.722 | Aμ=5.621 | Wmax=5.209 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    53 | base=0.105826 | val=0.370563 | acc1=0.8831 | Wμ=3.418 | Aμ=5.487 | Wmax=4.907 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    55 | base=0.103411 | val=0.340032 | acc1=0.8993 | Wμ=3.125 | Aμ=5.346 | Wmax=4.700 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    57 | base=0.133928 | val=0.376517 | acc1=0.8857 | Wμ=2.857 | Aμ=5.211 | Wmax=4.459 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    59 | base=0.128076 | val=0.347781 | acc1=0.8923 | Wμ=2.624 | Aμ=5.112 | Wmax=4.248 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    61 | base=0.148066 | val=0.343608 | acc1=0.8909 | Wμ=2.401 | Aμ=4.999 | Wmax=4.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    63 | base=0.156701 | val=0.369754 | acc1=0.8833 | Wμ=2.211 | Aμ=4.903 | Wmax=3.907 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    65 | base=0.202569 | val=0.375998 | acc1=0.8789 | Wμ=2.045 | Aμ=4.821 | Wmax=3.700 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    67 | base=0.250079 | val=0.446500 | acc1=0.8677 | Wμ=1.906 | Aμ=4.752 | Wmax=3.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    69 | base=0.236031 | val=0.412318 | acc1=0.8702 | Wμ=1.794 | Aμ=4.676 | Wmax=3.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    71 | base=0.288148 | val=0.517259 | acc1=0.8348 | Wμ=1.694 | Aμ=4.585 | Wmax=3.459 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    73 | base=0.315390 | val=0.452392 | acc1=0.8587 | Wμ=1.609 | Aμ=4.488 | Wmax=3.322 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    75 | base=0.306505 | val=0.555134 | acc1=0.8348 | Wμ=1.531 | Aμ=4.385 | Wmax=3.170 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    77 | base=0.341810 | val=0.737138 | acc1=0.7850 | Wμ=1.467 | Aμ=4.279 | Wmax=3.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    79 | base=0.362278 | val=0.572450 | acc1=0.8231 | Wμ=1.413 | Aμ=4.187 | Wmax=3.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    81 | base=0.411548 | val=0.591784 | acc1=0.8212 | Wμ=1.372 | Aμ=4.090 | Wmax=3.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    83 | base=0.412579 | val=0.815797 | acc1=0.7662 | Wμ=1.331 | Aμ=3.996 | Wmax=2.807 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    85 | base=0.430390 | val=0.971145 | acc1=0.7369 | Wμ=1.292 | Aμ=3.875 | Wmax=2.807 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    87 | base=0.477501 | val=0.798474 | acc1=0.7483 | Wμ=1.256 | Aμ=3.760 | Wmax=2.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    89 | base=0.426060 | val=0.649976 | acc1=0.7981 | Wμ=1.221 | Aμ=3.653 | Wmax=2.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    91 | base=0.482697 | val=0.569686 | acc1=0.8179 | Wμ=1.190 | Aμ=3.531 | Wmax=2.322 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    93 | base=0.452618 | val=0.662199 | acc1=0.7989 | Wμ=1.162 | Aμ=3.387 | Wmax=2.322 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    95 | base=0.497758 | val=1.443726 | acc1=0.6069 | Wμ=1.139 | Aμ=3.241 | Wmax=2.322 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    97 | base=0.499570 | val=0.613189 | acc1=0.8104 | Wμ=1.118 | Aμ=3.115 | Wmax=2.322 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    99 | base=0.496209 | val=0.738856 | acc1=0.7777 | Wμ=1.099 | Aμ=2.984 | Wmax=2.322 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   101 | base=0.486600 | val=0.616185 | acc1=0.8131 | Wμ=1.089 | Aμ=2.882 | Wmax=2.807 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   103 | base=0.515815 | val=0.488510 | acc1=0.8436 | Wμ=1.069 | Aμ=2.792 | Wmax=2.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   105 | base=0.454969 | val=0.539529 | acc1=0.8205 | Wμ=1.055 | Aμ=2.662 | Wmax=2.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   107 | base=0.528032 | val=0.803697 | acc1=0.7446 | Wμ=1.046 | Aμ=2.567 | Wmax=2.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   109 | base=0.570976 | val=0.605951 | acc1=0.8099 | Wμ=1.037 | Aμ=2.480 | Wmax=2.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   111 | base=0.651723 | val=0.953872 | acc1=0.7012 | Wμ=1.030 | Aμ=2.374 | Wmax=2.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   113 | base=0.658848 | val=0.966530 | acc1=0.7122 | Wμ=1.025 | Aμ=2.273 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   115 | base=0.669341 | val=0.636863 | acc1=0.8079 | Wμ=1.020 | Aμ=2.225 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   117 | base=0.617467 | val=1.224893 | acc1=0.6523 | Wμ=1.018 | Aμ=2.180 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   119 | base=0.693770 | val=0.753578 | acc1=0.7728 | Wμ=1.014 | Aμ=2.095 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   121 | base=0.701376 | val=0.751848 | acc1=0.7678 | Wμ=1.011 | Aμ=1.952 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   123 | base=0.749080 | val=0.660585 | acc1=0.7844 | Wμ=1.009 | Aμ=1.902 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   125 | base=0.651735 | val=0.930874 | acc1=0.7239 | Wμ=1.008 | Aμ=1.815 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   127 | base=0.808470 | val=0.621170 | acc1=0.7933 | Wμ=1.007 | Aμ=1.784 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   129 | base=0.739180 | val=0.730151 | acc1=0.7774 | Wμ=1.005 | Aμ=1.763 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   131 | base=0.732565 | val=0.774789 | acc1=0.7518 | Wμ=1.009 | Aμ=1.706 | Wmax=2.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   133 | base=0.771181 | val=0.546124 | acc1=0.8205 | Wμ=1.003 | Aμ=1.650 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   135 | base=0.941036 | val=0.976102 | acc1=0.6992 | Wμ=1.001 | Aμ=1.591 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   137 | base=0.785293 | val=0.808084 | acc1=0.7361 | Wμ=1.000 | Aμ=1.513 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   139 | base=0.913839 | val=0.739843 | acc1=0.7820 | Wμ=0.999 | Aμ=1.477 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   141 | base=0.937197 | val=0.721433 | acc1=0.7710 | Wμ=0.998 | Aμ=1.458 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   143 | base=1.033882 | val=0.846559 | acc1=0.7324 | Wμ=0.998 | Aμ=1.453 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   145 | base=0.950978 | val=0.788382 | acc1=0.7767 | Wμ=0.997 | Aμ=1.446 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   147 | base=0.919856 | val=0.723527 | acc1=0.7715 | Wμ=0.996 | Aμ=1.417 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   149 | base=1.050980 | val=1.018451 | acc1=0.6823 | Wμ=0.996 | Aμ=1.366 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   151 | base=1.059375 | val=0.913129 | acc1=0.7146 | Wμ=0.995 | Aμ=1.316 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   153 | base=0.938341 | val=0.898349 | acc1=0.7158 | Wμ=0.994 | Aμ=1.290 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   155 | base=0.895582 | val=0.669313 | acc1=0.7795 | Wμ=0.994 | Aμ=1.257 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   157 | base=1.031280 | val=0.740086 | acc1=0.7542 | Wμ=0.993 | Aμ=1.224 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   159 | base=0.976572 | val=0.831142 | acc1=0.7270 | Wμ=0.993 | Aμ=1.200 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   161 | base=1.209028 | val=0.884752 | acc1=0.7102 | Wμ=0.992 | Aμ=1.167 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   163 | base=1.046025 | val=1.481569 | acc1=0.5717 | Wμ=0.991 | Aμ=1.159 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   165 | base=1.107152 | val=0.926977 | acc1=0.7218 | Wμ=0.991 | Aμ=1.158 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   167 | base=0.953716 | val=1.116819 | acc1=0.6686 | Wμ=0.991 | Aμ=1.153 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   169 | base=1.111075 | val=1.308038 | acc1=0.6076 | Wμ=0.991 | Aμ=1.144 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   171 | base=1.102483 | val=0.687352 | acc1=0.7766 | Wμ=0.992 | Aμ=1.141 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   173 | base=1.105278 | val=1.141003 | acc1=0.6388 | Wμ=0.991 | Aμ=1.134 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   175 | base=1.242579 | val=0.925686 | acc1=0.7011 | Wμ=0.991 | Aμ=1.126 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   177 | base=1.065803 | val=1.020902 | acc1=0.6710 | Wμ=0.991 | Aμ=1.123 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   179 | base=1.139027 | val=1.117098 | acc1=0.6448 | Wμ=0.991 | Aμ=1.121 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   181 | base=1.216603 | val=1.055912 | acc1=0.6446 | Wμ=0.991 | Aμ=1.118 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   183 | base=1.096076 | val=0.689347 | acc1=0.7609 | Wμ=0.991 | Aμ=1.110 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   185 | base=1.182655 | val=1.084063 | acc1=0.6505 | Wμ=0.991 | Aμ=1.101 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   187 | base=1.090336 | val=0.739205 | acc1=0.7520 | Wμ=0.991 | Aμ=1.096 | Wmax=1.000 | LR=0.0017238 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   189 | base=1.201375 | val=0.760084 | acc1=0.7651 | Wμ=0.991 | Aμ=1.079 | Wmax=1.000 | LR=0.0017212 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
