    39 | base=1.029111 | val=1.043431 | acc1=0.6971 | Wμ=1.003 | Aμ=1.500 | Wmax=2.000 | Amax=2.000 |LR=0.01 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    41 | base=1.289710 | val=0.959359 | acc1=0.6893 | Wμ=0.998 | Aμ=1.349 | Wmax=1.585 | Amax=1.585 |LR=0.01 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    43 | base=1.332861 | val=1.108676 | acc1=0.6650 | Wμ=0.990 | Aμ=1.242 | Wmax=1.585 | Amax=1.585 |LR=0.01 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    45 | base=1.284178 | val=1.196168 | acc1=0.5921 | Wμ=0.986 | Aμ=1.157 | Wmax=1.585 | Amax=1.585 |LR=0.01 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    47 | base=1.391713 | val=1.101334 | acc1=0.6569 | Wμ=0.984 | Aμ=1.123 | Wmax=1.000 | Amax=1.585 |LR=0.01 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    49 | base=1.301107 | val=0.757209 | acc1=0.7534 | Wμ=0.980 | Aμ=1.062 | Wmax=1.000 | Amax=1.585 |LR=0.01 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    51 | base=1.498293 | val=1.951720 | acc1=0.4865 | Wμ=0.980 | Aμ=1.045 | Wmax=1.000 | Amax=1.000 |LR=0.01 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    53 | base=1.276038 | val=0.982362 | acc1=0.6962 | Wμ=0.978 | Aμ=0.991 | Wmax=1.000 | Amax=1.000 |LR=0.008619 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    55 | base=1.180979 | val=0.708883 | acc1=0.7590 | Wμ=0.978 | Aμ=0.992 | Wmax=1.000 | Amax=1.000 |LR=0.0074176 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    57 | base=1.176230 | val=1.194919 | acc1=0.6354 | Wμ=0.979 | Aμ=0.987 | Wmax=1.000 | Amax=1.000 |LR=0.0063837 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    59 | base=1.094666 | val=0.727782 | acc1=0.7665 | Wμ=0.980 | Aμ=0.989 | Wmax=1.000 | Amax=1.000 |LR=0.0054939 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    61 | base=1.153733 | val=1.292602 | acc1=0.6288 | Wμ=0.981 | Aμ=0.988 | Wmax=1.000 | Amax=1.000 |LR=0.0047281 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    63 | base=1.098375 | val=1.331294 | acc1=0.6046 | Wμ=0.981 | Aμ=0.982 | Wmax=1.000 | Amax=1.000 |LR=0.0040691 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    65 | base=1.117978 | val=0.971872 | acc1=0.6994 | Wμ=0.981 | Aμ=0.991 | Wmax=1.000 | Amax=1.000 |LR=0.0035019 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    67 | base=1.156395 | val=1.064186 | acc1=0.6705 | Wμ=0.982 | Aμ=0.989 | Wmax=1.000 | Amax=1.000 |LR=0.0030138 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    69 | base=1.106901 | val=0.734411 | acc1=0.7646 | Wμ=0.983 | Aμ=0.988 | Wmax=1.000 | Amax=1.000 |LR=0.0025937 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    71 | base=1.106315 | val=0.790950 | acc1=0.7447 | Wμ=0.984 | Aμ=0.989 | Wmax=1.000 | Amax=1.000 |LR=0.0022321 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    73 | base=1.116096 | val=0.733662 | acc1=0.7547 | Wμ=0.984 | Aμ=0.990 | Wmax=1.000 | Amax=1.000 |LR=0.001921 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    75 | base=1.104395 | val=0.725152 | acc1=0.7701 | Wμ=0.984 | Aμ=0.993 | Wmax=1.000 | Amax=1.000 |LR=0.0016532 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    77 | base=1.082927 | val=0.788396 | acc1=0.7371 | Wμ=0.985 | Aμ=0.991 | Wmax=1.000 | Amax=1.000 |LR=0.0014228 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    79 | base=1.093294 | val=0.791845 | acc1=0.7521 | Wμ=0.985 | Aμ=0.990 | Wmax=1.000 | Amax=1.000 |LR=0.0012245 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    81 | base=1.012511 | val=0.758908 | acc1=0.7615 | Wμ=0.985 | Aμ=0.993 | Wmax=1.000 | Amax=1.000 |LR=0.0010538 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    83 | base=1.033384 | val=0.809487 | acc1=0.7411 | Wμ=0.986 | Aμ=0.993 | Wmax=1.000 | Amax=1.000 |LR=0.00090691 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    85 | base=1.057947 | val=0.685531 | acc1=0.7796 | Wμ=0.986 | Aμ=0.996 | Wmax=1.000 | Amax=1.000 |LR=0.00078049 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    87 | base=1.048908 | val=0.774431 | acc1=0.7604 | Wμ=0.988 | Aμ=0.995 | Wmax=1.000 | Amax=1.000 |LR=0.0006717 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    89 | base=1.006109 | val=0.723850 | acc1=0.7678 | Wμ=0.988 | Aμ=0.996 | Wmax=1.000 | Amax=1.000 |LR=0.00057807 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    91 | base=0.941090 | val=0.745672 | acc1=0.7576 | Wμ=0.988 | Aμ=0.996 | Wmax=1.000 | Amax=1.000 |LR=0.0004975 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    93 | base=1.069625 | val=0.825769 | acc1=0.7317 | Wμ=0.989 | Aμ=0.995 | Wmax=1.000 | Amax=1.000 |LR=0.00042815 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    95 | base=0.977779 | val=0.586765 | acc1=0.8076 | Wμ=0.990 | Aμ=0.995 | Wmax=1.000 | Amax=1.000 |LR=0.00036847 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    97 | base=0.979651 | val=0.623435 | acc1=0.7959 | Wμ=0.990 | Aμ=0.996 | Wmax=1.000 | Amax=1.000 |LR=0.00031711 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    99 | base=1.097433 | val=0.641471 | acc1=0.7907 | Wμ=0.990 | Aμ=0.996 | Wmax=1.000 | Amax=1.000 |LR=0.00027291 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   101 | base=1.006876 | val=0.561167 | acc1=0.8178 | Wμ=0.990 | Aμ=0.996 | Wmax=1.000 | Amax=1.000 |LR=0.00023487 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   103 | base=1.019527 | val=0.720204 | acc1=0.7715 | Wμ=0.991 | Aμ=0.997 | Wmax=1.000 | Amax=1.000 |LR=0.00020213 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
