     0 | base=nan | val=0.236715 | acc1=nan | Wμ=nan | Aμ=nan | Wmax=nan | Amax=nan |LR=nan | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    11 | base=0.012165 | val=0.246210 | acc1=0.9212 | Wμ=9.793 | Aμ=10.043 | Wmax=10.065 | Amax=10.047 |LR=0.001198 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    13 | base=0.019007 | val=0.242692 | acc1=0.9236 | Wμ=9.802 | Aμ=10.057 | Wmax=10.123 | Amax=10.054 |LR=0.001398 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    15 | base=0.042422 | val=0.283691 | acc1=0.9113 | Wμ=9.814 | Aμ=10.077 | Wmax=10.147 | Amax=10.073 |LR=0.001598 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    17 | base=0.037234 | val=0.263521 | acc1=0.9181 | Wμ=9.827 | Aμ=10.080 | Wmax=10.218 | Amax=10.112 |LR=0.001798 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    19 | base=0.041512 | val=0.265948 | acc1=0.9145 | Wμ=9.841 | Aμ=10.093 | Wmax=10.306 | Amax=10.111 |LR=0.001998 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    21 | base=0.058392 | val=0.269113 | acc1=0.9164 | Wμ=9.570 | Aμ=9.868 | Wmax=9.928 | Amax=10.074 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    23 | base=0.042810 | val=0.256131 | acc1=0.9182 | Wμ=9.051 | Aμ=9.558 | Wmax=9.607 | Amax=9.966 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    25 | base=0.048239 | val=0.257891 | acc1=0.9209 | Wμ=8.611 | Aμ=9.232 | Wmax=9.238 | Amax=9.909 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    27 | base=0.040551 | val=0.274385 | acc1=0.9148 | Wμ=8.158 | Aμ=8.883 | Wmax=8.883 | Amax=9.809 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    29 | base=0.038648 | val=0.262378 | acc1=0.9194 | Wμ=7.717 | Aμ=8.521 | Wmax=8.539 | Amax=9.656 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    31 | base=0.037316 | val=0.250618 | acc1=0.9224 | Wμ=7.297 | Aμ=8.166 | Wmax=8.190 | Amax=9.477 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    33 | base=0.034170 | val=0.261159 | acc1=0.9187 | Wμ=6.903 | Aμ=7.827 | Wmax=7.845 | Amax=9.288 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    35 | base=0.042036 | val=0.253858 | acc1=0.9200 | Wμ=6.513 | Aμ=7.508 | Wmax=7.531 | Amax=9.087 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    37 | base=0.044840 | val=0.268421 | acc1=0.9180 | Wμ=6.138 | Aμ=7.196 | Wmax=7.209 | Amax=8.758 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    39 | base=0.058516 | val=0.259567 | acc1=0.9195 | Wμ=5.768 | Aμ=6.912 | Wmax=6.895 | Amax=8.516 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    41 | base=0.054254 | val=0.259883 | acc1=0.9167 | Wμ=5.403 | Aμ=6.642 | Wmax=6.600 | Amax=8.253 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    43 | base=0.061494 | val=0.267449 | acc1=0.9172 | Wμ=5.050 | Aμ=6.386 | Wmax=6.285 | Amax=8.017 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    45 | base=0.086349 | val=0.283471 | acc1=0.9098 | Wμ=4.709 | Aμ=6.172 | Wmax=5.977 | Amax=7.801 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    47 | base=0.075374 | val=0.296792 | acc1=0.9080 | Wμ=4.369 | Aμ=5.969 | Wmax=5.700 | Amax=7.622 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    49 | base=0.079003 | val=0.293824 | acc1=0.9076 | Wμ=4.037 | Aμ=5.774 | Wmax=5.392 | Amax=7.401 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    51 | base=0.103301 | val=0.293402 | acc1=0.9060 | Wμ=3.722 | Aμ=5.593 | Wmax=5.087 | Amax=7.257 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    53 | base=0.101660 | val=0.307439 | acc1=0.9052 | Wμ=3.410 | Aμ=5.424 | Wmax=4.858 | Amax=6.977 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    55 | base=0.106185 | val=0.290033 | acc1=0.9085 | Wμ=3.127 | Aμ=5.302 | Wmax=4.585 | Amax=6.807 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    57 | base=0.132665 | val=0.324031 | acc1=0.9009 | Wμ=2.865 | Aμ=5.190 | Wmax=4.322 | Amax=6.687 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    59 | base=0.151389 | val=0.361545 | acc1=0.8875 | Wμ=2.625 | Aμ=5.095 | Wmax=4.170 | Amax=6.570 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    61 | base=0.155587 | val=0.408093 | acc1=0.8794 | Wμ=2.398 | Aμ=4.971 | Wmax=4.000 | Amax=6.459 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    63 | base=0.180379 | val=0.428227 | acc1=0.8718 | Wμ=2.211 | Aμ=4.872 | Wmax=3.807 | Amax=6.340 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    65 | base=0.170165 | val=0.449485 | acc1=0.8610 | Wμ=2.047 | Aμ=4.767 | Wmax=3.700 | Amax=6.150 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    67 | base=0.243176 | val=0.373690 | acc1=0.8786 | Wμ=1.911 | Aμ=4.700 | Wmax=3.585 | Amax=6.022 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    69 | base=0.257885 | val=0.411213 | acc1=0.8736 | Wμ=1.793 | Aμ=4.616 | Wmax=3.459 | Amax=5.858 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    71 | base=0.249239 | val=0.461270 | acc1=0.8596 | Wμ=1.693 | Aμ=4.523 | Wmax=3.322 | Amax=5.700 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    73 | base=0.285417 | val=0.390308 | acc1=0.8725 | Wμ=1.609 | Aμ=4.433 | Wmax=3.170 | Amax=5.615 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    75 | base=0.364691 | val=0.563829 | acc1=0.8339 | Wμ=1.544 | Aμ=4.331 | Wmax=3.000 | Amax=5.492 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    77 | base=0.380155 | val=0.556884 | acc1=0.8201 | Wμ=1.484 | Aμ=4.254 | Wmax=3.000 | Amax=5.426 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    79 | base=0.470961 | val=0.573474 | acc1=0.8222 | Wμ=1.431 | Aμ=4.145 | Wmax=3.000 | Amax=5.285 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    81 | base=0.418404 | val=0.797238 | acc1=0.7653 | Wμ=1.385 | Aμ=4.042 | Wmax=2.807 | Amax=5.170 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    83 | base=0.437627 | val=0.906518 | acc1=0.7254 | Wμ=1.344 | Aμ=3.931 | Wmax=2.807 | Amax=4.954 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    85 | base=0.460885 | val=0.761571 | acc1=0.7657 | Wμ=1.306 | Aμ=3.798 | Wmax=2.585 | Amax=4.858 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    87 | base=0.485305 | val=0.808801 | acc1=0.7560 | Wμ=1.263 | Aμ=3.664 | Wmax=2.585 | Amax=4.700 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    89 | base=0.511058 | val=0.966330 | acc1=0.6981 | Wμ=1.227 | Aμ=3.535 | Wmax=2.585 | Amax=4.524 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    91 | base=0.517964 | val=0.851114 | acc1=0.7308 | Wμ=1.192 | Aμ=3.412 | Wmax=2.322 | Amax=4.392 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    93 | base=0.474462 | val=0.904845 | acc1=0.7177 | Wμ=1.162 | Aμ=3.276 | Wmax=2.322 | Amax=4.170 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    95 | base=0.526243 | val=0.851306 | acc1=0.7521 | Wμ=1.139 | Aμ=3.136 | Wmax=2.322 | Amax=4.000 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    97 | base=0.490558 | val=0.902188 | acc1=0.7378 | Wμ=1.119 | Aμ=3.008 | Wmax=2.322 | Amax=3.700 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    99 | base=0.559178 | val=0.872389 | acc1=0.7390 | Wμ=1.102 | Aμ=2.877 | Wmax=2.322 | Amax=3.459 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   101 | base=0.517942 | val=0.955248 | acc1=0.7258 | Wμ=1.085 | Aμ=2.711 | Wmax=2.322 | Amax=3.170 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   103 | base=0.583404 | val=1.719318 | acc1=0.5561 | Wμ=1.069 | Aμ=2.635 | Wmax=2.000 | Amax=3.000 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   105 | base=0.587280 | val=0.872310 | acc1=0.7384 | Wμ=1.054 | Aμ=2.497 | Wmax=2.000 | Amax=3.000 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   107 | base=0.585539 | val=1.333542 | acc1=0.6135 | Wμ=1.041 | Aμ=2.387 | Wmax=2.000 | Amax=2.807 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   109 | base=0.609000 | val=0.702920 | acc1=0.7824 | Wμ=1.033 | Aμ=2.299 | Wmax=2.000 | Amax=2.585 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   111 | base=0.637583 | val=1.161524 | acc1=0.6567 | Wμ=1.027 | Aμ=2.227 | Wmax=2.000 | Amax=2.585 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   113 | base=0.648308 | val=0.734038 | acc1=0.7756 | Wμ=1.022 | Aμ=2.169 | Wmax=2.000 | Amax=2.585 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   115 | base=0.615349 | val=0.658955 | acc1=0.7966 | Wμ=1.019 | Aμ=2.047 | Wmax=2.000 | Amax=2.322 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   117 | base=0.687962 | val=0.643435 | acc1=0.7957 | Wμ=1.017 | Aμ=1.960 | Wmax=2.000 | Amax=2.585 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   119 | base=0.742165 | val=0.931407 | acc1=0.7283 | Wμ=1.013 | Aμ=1.883 | Wmax=1.585 | Amax=2.322 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   121 | base=0.812251 | val=0.993539 | acc1=0.6910 | Wμ=1.012 | Aμ=1.811 | Wmax=1.585 | Amax=2.322 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   123 | base=0.685357 | val=1.008320 | acc1=0.6908 | Wμ=1.008 | Aμ=1.782 | Wmax=1.585 | Amax=2.322 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   125 | base=0.768358 | val=0.601790 | acc1=0.8118 | Wμ=1.007 | Aμ=1.746 | Wmax=1.585 | Amax=2.322 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   127 | base=0.852191 | val=1.113531 | acc1=0.6686 | Wμ=1.005 | Aμ=1.641 | Wmax=1.585 | Amax=2.000 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   129 | base=0.823081 | val=1.253490 | acc1=0.6544 | Wμ=1.003 | Aμ=1.554 | Wmax=1.585 | Amax=2.000 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   131 | base=0.837110 | val=1.041256 | acc1=0.7126 | Wμ=1.002 | Aμ=1.511 | Wmax=1.585 | Amax=2.000 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   133 | base=1.032454 | val=0.983886 | acc1=0.7059 | Wμ=1.001 | Aμ=1.473 | Wmax=1.585 | Amax=2.000 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   135 | base=1.001860 | val=0.619099 | acc1=0.8052 | Wμ=1.000 | Aμ=1.465 | Wmax=1.585 | Amax=2.000 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   137 | base=0.881091 | val=1.011018 | acc1=0.7035 | Wμ=0.999 | Aμ=1.453 | Wmax=1.585 | Amax=2.000 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   139 | base=0.911242 | val=1.004901 | acc1=0.6954 | Wμ=0.998 | Aμ=1.444 | Wmax=1.585 | Amax=1.585 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   141 | base=0.849720 | val=0.921565 | acc1=0.7209 | Wμ=0.997 | Aμ=1.422 | Wmax=1.585 | Amax=1.585 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   143 | base=0.979486 | val=0.990163 | acc1=0.6929 | Wμ=0.996 | Aμ=1.375 | Wmax=1.585 | Amax=2.000 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   145 | base=0.979575 | val=0.867445 | acc1=0.7154 | Wμ=0.995 | Aμ=1.322 | Wmax=1.585 | Amax=1.585 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   147 | base=1.098834 | val=0.615784 | acc1=0.7898 | Wμ=0.994 | Aμ=1.295 | Wmax=1.585 | Amax=1.585 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   149 | base=0.980030 | val=0.834679 | acc1=0.7515 | Wμ=0.993 | Aμ=1.257 | Wmax=1.585 | Amax=1.585 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   151 | base=1.023204 | val=0.650342 | acc1=0.7830 | Wμ=0.992 | Aμ=1.215 | Wmax=1.585 | Amax=1.585 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   153 | base=1.071302 | val=0.951906 | acc1=0.7043 | Wμ=0.992 | Aμ=1.178 | Wmax=1.000 | Amax=1.585 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   155 | base=1.013833 | val=0.796950 | acc1=0.7404 | Wμ=0.992 | Aμ=1.161 | Wmax=1.000 | Amax=1.585 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   157 | base=1.169671 | val=0.848418 | acc1=0.7138 | Wμ=0.991 | Aμ=1.158 | Wmax=1.000 | Amax=1.585 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   159 | base=0.895532 | val=0.821183 | acc1=0.7433 | Wμ=0.991 | Aμ=1.157 | Wmax=1.000 | Amax=1.585 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   161 | base=1.057173 | val=0.893217 | acc1=0.7218 | Wμ=0.990 | Aμ=1.149 | Wmax=1.000 | Amax=1.585 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   163 | base=1.125231 | val=0.850695 | acc1=0.7212 | Wμ=0.990 | Aμ=1.135 | Wmax=1.000 | Amax=1.585 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   165 | base=1.134073 | val=0.872219 | acc1=0.7109 | Wμ=0.990 | Aμ=1.125 | Wmax=1.000 | Amax=1.585 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   167 | base=1.191112 | val=0.783568 | acc1=0.7528 | Wμ=0.990 | Aμ=1.124 | Wmax=1.000 | Amax=1.585 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   169 | base=1.163049 | val=0.794515 | acc1=0.7573 | Wμ=0.990 | Aμ=1.124 | Wmax=1.000 | Amax=1.585 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   171 | base=1.182104 | val=0.858984 | acc1=0.7172 | Wμ=0.990 | Aμ=1.124 | Wmax=1.000 | Amax=1.585 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   173 | base=1.187284 | val=0.876539 | acc1=0.7136 | Wμ=0.990 | Aμ=1.122 | Wmax=1.000 | Amax=1.585 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   175 | base=1.085172 | val=0.829728 | acc1=0.7306 | Wμ=0.990 | Aμ=1.115 | Wmax=1.000 | Amax=1.585 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   177 | base=1.139127 | val=0.838929 | acc1=0.7321 | Wμ=0.990 | Aμ=1.103 | Wmax=1.000 | Amax=1.585 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   179 | base=1.097305 | val=0.902028 | acc1=0.7090 | Wμ=0.990 | Aμ=1.085 | Wmax=1.000 | Amax=1.000 |LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   181 | base=1.213110 | val=0.817579 | acc1=0.7455 | Wμ=0.990 | Aμ=1.075 | Wmax=1.000 | Amax=1.000 |LR=0.0017238 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   183 | base=0.987829 | val=0.789162 | acc1=0.7453 | Wμ=0.990 | Aμ=1.057 | Wmax=1.000 | Amax=1.000 |LR=0.0014835 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   185 | base=1.138010 | val=1.125783 | acc1=0.6664 | Wμ=0.990 | Aμ=1.041 | Wmax=1.000 | Amax=1.000 |LR=0.0012767 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   187 | base=1.102210 | val=0.757048 | acc1=0.7683 | Wμ=0.990 | Aμ=1.028 | Wmax=1.000 | Amax=1.000 |LR=0.0010988 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   189 | base=1.062448 | val=0.698576 | acc1=0.7699 | Wμ=0.991 | Aμ=1.008 | Wmax=1.000 | Amax=1.000 |LR=0.00094562 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   191 | base=1.072486 | val=0.655317 | acc1=0.7836 | Wμ=0.991 | Aμ=0.998 | Wmax=1.000 | Amax=1.000 |LR=0.00081381 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   193 | base=1.006250 | val=1.044462 | acc1=0.6728 | Wμ=0.991 | Aμ=0.998 | Wmax=1.000 | Amax=1.000 |LR=0.00070037 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   195 | base=1.048242 | val=0.749794 | acc1=0.7571 | Wμ=0.992 | Aμ=0.998 | Wmax=1.000 | Amax=1.000 |LR=0.00060275 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   197 | base=1.077703 | val=0.938714 | acc1=0.7056 | Wμ=0.992 | Aμ=0.998 | Wmax=1.000 | Amax=1.000 |LR=0.00051873 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   199 | base=1.034196 | val=0.755250 | acc1=0.7573 | Wμ=0.992 | Aμ=0.998 | Wmax=1.000 | Amax=1.000 |LR=0.00044643 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   201 | base=1.007023 | val=0.722253 | acc1=0.7805 | Wμ=0.992 | Aμ=0.999 | Wmax=1.000 | Amax=1.000 |LR=0.0003842 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
