    18 | base=0.323216 | val=0.448930 | acc1=0.8611 | Wμ=10.637 | Aμ=10.181 | Wmax=11.785 | Amax=10.705 |LR=0.01898 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    19 | base=0.279001 | val=0.389882 | acc1=0.8785 | Wμ=10.702 | Aμ=10.207 | Wmax=11.908 | Amax=10.792 |LR=0.01998 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    20 | base=0.215231 | val=0.362173 | acc1=0.8868 | Wμ=7.560 | Aμ=7.680 | Wmax=8.910 | Amax=9.766 |LR=0.02 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    21 | base=0.329297 | val=0.389096 | acc1=0.8771 | Wμ=4.317 | Aμ=4.988 | Wmax=5.615 | Amax=6.687 |LR=0.02 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    22 | base=0.587261 | val=0.828303 | acc1=0.7524 | Wμ=2.164 | Aμ=4.353 | Wmax=3.459 | Amax=5.524 |LR=0.02 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    23 | base=0.929181 | val=1.662927 | acc1=0.5933 | Wμ=1.440 | Aμ=4.037 | Wmax=3.170 | Amax=5.248 |LR=0.02 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    24 | base=1.013780 | val=4.253490 | acc1=0.3257 | Wμ=1.226 | Aμ=3.287 | Wmax=2.807 | Amax=4.322 |LR=0.02 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    25 | base=0.963190 | val=1.134004 | acc1=0.6864 | Wμ=1.102 | Aμ=2.583 | Wmax=2.322 | Amax=3.322 |LR=0.02 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    26 | base=1.061641 | val=0.958498 | acc1=0.6899 | Wμ=1.036 | Aμ=2.172 | Wmax=2.322 | Amax=2.807 |LR=0.02 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    27 | base=1.031337 | val=1.577306 | acc1=0.5671 | Wμ=1.015 | Aμ=1.848 | Wmax=2.000 | Amax=2.322 |LR=0.02 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
