# callback_metrics keys:
# PSNR/B100
# PSNR/Set14
# PSNR/Set5
# PSNR/Urban100
# SSIM/B100
# SSIM/Set14
# SSIM/Set5
# SSIM/Urban100
# Val_loss/B100
# Val_loss/B100_epoch
# Val_loss/Set14
# Val_loss/Set14_epoch
# Val_loss/Set5
# Val_loss/Set5_epoch
# Val_loss/Urban100
# Val_loss/Urban100_epoch
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=1.70 | mem=248.9 | psnr_set14=28.302, psnr_set5=32.057, psnr_urban100=26.141, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=20.15 | mem=250.8 | psnr_set14=28.302, psnr_set5=32.056, psnr_urban100=26.140, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |  | a_actual_b100=15.434, a_actual_set14=15.564, a_actual_set5=15.423, a_actual_urban100=15.785, a_max_b100=18.909, a_max_set14=19.104, a_max_set5=19.003, a_max_urban100=19.127, a_mean_b100=20.000, a_mean_set14=20.000, a_mean_set5=20.000, a_mean_urban100=20.000, w_actual_b100=12.695, w_actual_set14=12.695, w_actual_set5=12.695, w_actual_urban100=12.695, w_max_b100=14.925, w_max_set14=14.925, w_max_set5=14.925, w_max_urban100=14.925, w_mean_b100=11.704, w_mean_set14=11.704, w_mean_set5=11.704, w_mean_urban100=11.704
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=20.40 | mem=250.9 | psnr_set14=28.303, psnr_set5=32.056, psnr_urban100=26.140, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |  | a_actual_b100=15.435, a_actual_set14=15.564, a_actual_set5=15.424, a_actual_urban100=15.785, a_max_b100=18.909, a_max_set14=19.104, a_max_set5=19.003, a_max_urban100=19.126, a_mean_b100=20.000, a_mean_set14=20.000, a_mean_set5=20.000, a_mean_urban100=20.000, w_actual_b100=10.000, w_actual_set14=10.000, w_actual_set5=10.000, w_actual_urban100=10.000, w_max_b100=10.000, w_max_set14=10.000, w_max_set5=10.000, w_max_urban100=10.000, w_mean_b100=9.977, w_mean_set14=9.977, w_mean_set5=9.977, w_mean_urban100=9.977
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=20.18 | mem=250.9 | psnr_set14=28.302, psnr_set5=32.055, psnr_urban100=26.139, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |  | a_actual_b100=8.902, a_actual_set14=9.042, a_actual_set5=8.898, a_actual_urban100=9.257, a_max_b100=9.678, a_max_set14=9.768, a_max_set5=9.758, a_max_urban100=9.858, a_mean_b100=10.000, a_mean_set14=10.000, a_mean_set5=10.000, a_mean_urban100=10.000, w_actual_b100=10.000, w_actual_set14=10.000, w_actual_set5=10.000, w_actual_urban100=10.000, w_max_b100=10.000, w_max_set14=10.000, w_max_set5=10.000, w_max_urban100=10.000, w_mean_b100=9.977, w_mean_set14=9.977, w_mean_set5=9.977, w_mean_urban100=9.977
# epoch | train_loss | val_loss | PSNR | SSIM | LPIPS | BestPSNR | LR | GradNorm | Wμbits | Aμbits | t_train(s) | t_val(s) | gpu_mem(MB) | SRBench(psnr/ssim...)
# callback_metrics keys:
#
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=1.45 | mem=250.9 |
     0 | train=0.000812 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00036 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.83 | t_val=12.05 | mem=383.9 | psnr_set14=28.301, psnr_set5=32.345, psnr_urban100=26.134, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |  | a_actual_b100=8.903, a_actual_set14=9.045, a_actual_set5=8.896, a_actual_urban100=9.259, a_max_b100=9.679, a_max_set14=9.769, a_max_set5=9.791, a_max_urban100=9.860, a_mean_b100=10.000, a_mean_set14=10.000, a_mean_set5=10.000, a_mean_urban100=10.000, w_actual_b100=10.000, w_actual_set14=10.000, w_actual_set5=10.000, w_actual_urban100=10.000, w_max_b100=10.000, w_max_set14=10.000, w_max_set5=10.000, w_max_urban100=10.000, w_mean_b100=9.977, w_mean_set14=9.977, w_mean_set5=9.977, w_mean_urban100=9.977
     1 | train=0.000882 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00074 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.62 | t_val=11.97 | mem=383.9 | psnr_set14=28.295, psnr_set5=32.336, psnr_urban100=26.139, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |  | a_actual_b100=8.908, a_actual_set14=9.049, a_actual_set5=8.900, a_actual_urban100=9.264, a_max_b100=9.682, a_max_set14=9.770, a_max_set5=9.794, a_max_urban100=9.862, a_mean_b100=10.001, a_mean_set14=10.001, a_mean_set5=10.001, a_mean_urban100=10.001, w_actual_b100=10.001, w_actual_set14=10.001, w_actual_set5=10.001, w_actual_urban100=10.001, w_max_b100=10.003, w_max_set14=10.003, w_max_set5=10.003, w_max_urban100=10.003, w_mean_b100=9.977, w_mean_set14=9.977, w_mean_set5=9.977, w_mean_urban100=9.977
     2 | train=0.000914 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00112 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.60 | t_val=11.95 | mem=383.9 | psnr_set14=28.290, psnr_set5=32.338, psnr_urban100=26.119, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |  | a_actual_b100=8.908, a_actual_set14=9.053, a_actual_set5=8.905, a_actual_urban100=9.262, a_max_b100=9.686, a_max_set14=9.774, a_max_set5=9.796, a_max_urban100=9.865, a_mean_b100=10.002, a_mean_set14=10.002, a_mean_set5=10.002, a_mean_urban100=10.002, w_actual_b100=10.002, w_actual_set14=10.002, w_actual_set5=10.002, w_actual_urban100=10.002, w_max_b100=10.004, w_max_set14=10.004, w_max_set5=10.004, w_max_urban100=10.004, w_mean_b100=9.977, w_mean_set14=9.977, w_mean_set5=9.977, w_mean_urban100=9.977
     3 | train=0.001445 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.0015 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.68 | t_val=11.94 | mem=383.9 | psnr_set14=28.293, psnr_set5=32.328, psnr_urban100=26.117, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |  | a_actual_b100=8.919, a_actual_set14=9.060, a_actual_set5=8.910, a_actual_urban100=9.273, a_max_b100=9.688, a_max_set14=9.775, a_max_set5=9.804, a_max_urban100=9.872, a_mean_b100=10.004, a_mean_set14=10.004, a_mean_set5=10.004, a_mean_urban100=10.004, w_actual_b100=10.003, w_actual_set14=10.003, w_actual_set5=10.003, w_actual_urban100=10.003, w_max_b100=10.008, w_max_set14=10.008, w_max_set5=10.008, w_max_urban100=10.008, w_mean_b100=9.977, w_mean_set14=9.977, w_mean_set5=9.977, w_mean_urban100=9.977
     4 | train=0.001453 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00188 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.58 | t_val=11.94 | mem=383.9 | psnr_set14=28.283, psnr_set5=32.344, psnr_urban100=26.095, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |  | a_actual_b100=8.927, a_actual_set14=9.071, a_actual_set5=8.917, a_actual_urban100=9.278, a_max_b100=9.700, a_max_set14=9.783, a_max_set5=9.802, a_max_urban100=9.874, a_mean_b100=10.006, a_mean_set14=10.006, a_mean_set5=10.006, a_mean_urban100=10.006, w_actual_b100=10.005, w_actual_set14=10.005, w_actual_set5=10.005, w_actual_urban100=10.005, w_max_b100=10.010, w_max_set14=10.010, w_max_set5=10.010, w_max_urban100=10.010, w_mean_b100=9.977, w_mean_set14=9.977, w_mean_set5=9.977, w_mean_urban100=9.977
