     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.75 | mem=248.9 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.057, psnr_urban100=26.141, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.90 | mem=250.8 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=21.02 | mem=250.9 | psnr_b100=27.621, psnr_set14=28.303, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.80 | mem=250.9 | psnr_b100=27.618, psnr_set14=28.302, psnr_set5=32.055, psnr_urban100=26.139, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
# epoch | train_loss | val_loss | LR | t_train(s) | t_val(s) | gpu_mem(MB) | SRBench(psnr/ssim...)
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.45 | mem=250.9 |
     0 | train=0.000782 | val=nan | lr=0.00036 | t_train=12.98 | t_val=12.20 | mem=383.9 | psnr_b100=27.618, psnr_set14=28.300, psnr_set5=32.344, psnr_urban100=26.137, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     1 | train=0.000807 | val=nan | lr=0.00074 | t_train=12.80 | t_val=12.13 | mem=383.9 | psnr_b100=27.617, psnr_set14=28.291, psnr_set5=32.333, psnr_urban100=26.132, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     2 | train=0.001070 | val=nan | lr=0.00112 | t_train=12.87 | t_val=12.11 | mem=383.9 | psnr_b100=27.618, psnr_set14=28.304, psnr_set5=32.349, psnr_urban100=26.136, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.915, ssim_urban100=0.963 |
     3 | train=0.001253 | val=nan | lr=0.0015 | t_train=12.74 | t_val=12.08 | mem=383.9 | psnr_b100=27.610, psnr_set14=28.288, psnr_set5=32.344, psnr_urban100=26.112, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.915, ssim_urban100=0.963 |
     4 | train=0.001651 | val=nan | lr=0.00188 | t_train=12.81 | t_val=12.15 | mem=383.9 | psnr_b100=27.602, psnr_set14=28.253, psnr_set5=32.281, psnr_urban100=26.097, ssim_b100=0.737, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
