    41 | base=0.056654 | val=0.262743 | acc1=0.9196 | Wμ=5.402 | Aμ=6.668 | Wmax=6.570 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    43 | base=0.055915 | val=0.277729 | acc1=0.9132 | Wμ=5.047 | Aμ=6.410 | Wmax=6.267 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    45 | base=0.071284 | val=0.289912 | acc1=0.9098 | Wμ=4.698 | Aμ=6.180 | Wmax=6.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    47 | base=0.083168 | val=0.285139 | acc1=0.9121 | Wμ=4.361 | Aμ=5.979 | Wmax=5.728 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    49 | base=0.075457 | val=0.277756 | acc1=0.9128 | Wμ=4.028 | Aμ=5.798 | Wmax=5.459 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    51 | base=0.097094 | val=0.284950 | acc1=0.9100 | Wμ=3.713 | Aμ=5.624 | Wmax=5.170 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    53 | base=0.077794 | val=0.286969 | acc1=0.9097 | Wμ=3.408 | Aμ=5.482 | Wmax=4.907 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    55 | base=0.116381 | val=0.322194 | acc1=0.9009 | Wμ=3.130 | Aμ=5.350 | Wmax=4.644 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    57 | base=0.109084 | val=0.302352 | acc1=0.9040 | Wμ=2.862 | Aμ=5.257 | Wmax=4.392 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    59 | base=0.154471 | val=0.319059 | acc1=0.9004 | Wμ=2.624 | Aμ=5.152 | Wmax=4.248 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    61 | base=0.151433 | val=0.337697 | acc1=0.8923 | Wμ=2.412 | Aμ=5.052 | Wmax=4.087 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    63 | base=0.180716 | val=0.334262 | acc1=0.8918 | Wμ=2.220 | Aμ=4.954 | Wmax=4.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    65 | base=0.217507 | val=0.442662 | acc1=0.8630 | Wμ=2.068 | Aμ=4.870 | Wmax=3.807 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    67 | base=0.215163 | val=0.381841 | acc1=0.8824 | Wμ=1.934 | Aμ=4.785 | Wmax=3.700 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    69 | base=0.251679 | val=0.383463 | acc1=0.8774 | Wμ=1.821 | Aμ=4.708 | Wmax=3.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    71 | base=0.304876 | val=0.503616 | acc1=0.8453 | Wμ=1.727 | Aμ=4.622 | Wmax=3.459 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
