    39 | base=1.067433 | val=0.948988 | acc1=0.6913 | Wμ=1.013 | Aμ=1.808 | Wmax=2.000 | Amax=2.322 |LR=0.01 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    41 | base=1.026338 | val=0.924646 | acc1=0.7092 | Wμ=1.005 | Aμ=1.643 | Wmax=1.585 | Amax=2.000 |LR=0.01 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    43 | base=1.149913 | val=1.297224 | acc1=0.5672 | Wμ=0.997 | Aμ=1.486 | Wmax=1.585 | Amax=2.000 |LR=0.01 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    45 | base=1.303613 | val=1.632456 | acc1=0.5744 | Wμ=0.992 | Aμ=1.363 | Wmax=1.585 | Amax=2.000 |LR=0.01 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    47 | base=1.361802 | val=0.955723 | acc1=0.6670 | Wμ=0.988 | Aμ=1.326 | Wmax=1.585 | Amax=2.000 |LR=0.01 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    49 | base=1.330471 | val=1.001278 | acc1=0.7105 | Wμ=0.986 | Aμ=1.283 | Wmax=1.585 | Amax=1.585 |LR=0.01 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    51 | base=1.344818 | val=0.914289 | acc1=0.7002 | Wμ=0.984 | Aμ=1.138 | Wmax=1.585 | Amax=1.585 |LR=0.01 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    53 | base=1.552972 | val=1.832695 | acc1=0.4406 | Wμ=0.980 | Aμ=1.125 | Wmax=1.000 | Amax=1.585 |LR=0.01 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    55 | base=1.518867 | val=0.850370 | acc1=0.7221 | Wμ=0.980 | Aμ=1.106 | Wmax=1.000 | Amax=1.585 |LR=0.01 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    57 | base=1.483905 | val=1.239077 | acc1=0.6364 | Wμ=0.979 | Aμ=1.067 | Wmax=1.000 | Amax=1.585 |LR=0.01 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    59 | base=1.369642 | val=1.022092 | acc1=0.6779 | Wμ=0.977 | Aμ=1.049 | Wmax=1.000 | Amax=1.000 |LR=0.01 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    61 | base=1.343757 | val=0.868789 | acc1=0.7289 | Wμ=0.978 | Aμ=0.988 | Wmax=1.000 | Amax=1.000 |LR=0.008619 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    63 | base=1.169240 | val=0.805243 | acc1=0.7345 | Wμ=0.976 | Aμ=0.988 | Wmax=1.000 | Amax=1.000 |LR=0.0074176 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    65 | base=1.209856 | val=0.731189 | acc1=0.7692 | Wμ=0.977 | Aμ=0.991 | Wmax=1.000 | Amax=1.000 |LR=0.0063837 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    67 | base=1.162293 | val=0.885687 | acc1=0.7215 | Wμ=0.978 | Aμ=0.994 | Wmax=1.000 | Amax=1.000 |LR=0.0054939 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    69 | base=1.296142 | val=0.808542 | acc1=0.7551 | Wμ=0.978 | Aμ=0.995 | Wmax=1.000 | Amax=1.000 |LR=0.0047281 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    71 | base=1.209108 | val=0.865501 | acc1=0.7317 | Wμ=0.980 | Aμ=0.991 | Wmax=1.000 | Amax=1.000 |LR=0.0040691 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    73 | base=1.090634 | val=0.751102 | acc1=0.7577 | Wμ=0.980 | Aμ=0.987 | Wmax=1.000 | Amax=1.000 |LR=0.0035019 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    75 | base=1.126508 | val=0.827238 | acc1=0.7341 | Wμ=0.981 | Aμ=0.992 | Wmax=1.000 | Amax=1.000 |LR=0.0030138 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    77 | base=1.056682 | val=0.769124 | acc1=0.7559 | Wμ=0.982 | Aμ=0.989 | Wmax=1.000 | Amax=1.000 |LR=0.0025937 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    79 | base=1.118944 | val=0.846860 | acc1=0.7322 | Wμ=0.983 | Aμ=0.994 | Wmax=1.000 | Amax=1.000 |LR=0.0022321 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
