     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.73 | mem=248.9 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.057, psnr_urban100=26.141, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.76 | mem=250.8 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.72 | mem=250.9 | psnr_b100=27.621, psnr_set14=28.303, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.60 | mem=250.9 | psnr_b100=27.618, psnr_set14=28.302, psnr_set5=32.055, psnr_urban100=26.139, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
# epoch | train_loss | val_loss | LR | t_train(s) | t_val(s) | gpu_mem(MB) | SRBench(psnr/ssim...)
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.46 | mem=250.9 |
     0 | train=0.000769 | val=nan | lr=0.00072 | t_train=12.93 | t_val=12.14 | mem=383.9 | psnr_b100=27.618, psnr_set14=28.298, psnr_set5=32.341, psnr_urban100=26.136, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     1 | train=0.001050 | val=nan | lr=0.00148 | t_train=12.78 | t_val=12.13 | mem=383.9 | psnr_b100=27.617, psnr_set14=28.293, psnr_set5=32.329, psnr_urban100=26.135, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     2 | train=0.001551 | val=nan | lr=0.00224 | t_train=12.85 | t_val=12.09 | mem=383.9 | psnr_b100=27.601, psnr_set14=28.312, psnr_set5=32.316, psnr_urban100=26.098, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |
     3 | train=0.002053 | val=nan | lr=0.003 | t_train=12.74 | t_val=12.09 | mem=383.9 | psnr_b100=27.593, psnr_set14=28.254, psnr_set5=32.294, psnr_urban100=26.096, ssim_b100=0.737, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
     4 | train=0.002498 | val=nan | lr=0.00376 | t_train=12.77 | t_val=12.11 | mem=383.9 | psnr_b100=27.579, psnr_set14=28.289, psnr_set5=32.315, psnr_urban100=26.054, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
     5 | train=0.002599 | val=nan | lr=0.00452 | t_train=12.69 | t_val=12.04 | mem=383.9 | psnr_b100=27.558, psnr_set14=28.262, psnr_set5=32.309, psnr_urban100=26.015, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.961 |
     6 | train=0.003341 | val=nan | lr=0.00528 | t_train=12.75 | t_val=12.10 | mem=383.9 | psnr_b100=27.506, psnr_set14=28.174, psnr_set5=32.209, psnr_urban100=25.906, ssim_b100=0.734, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.960 |
     7 | train=0.004578 | val=nan | lr=0.00604 | t_train=12.70 | t_val=12.04 | mem=383.9 | psnr_b100=27.501, psnr_set14=28.172, psnr_set5=32.185, psnr_urban100=25.828, ssim_b100=0.734, ssim_set14=0.858, ssim_set5=0.912, ssim_urban100=0.960 |
     8 | train=0.004175 | val=nan | lr=0.0068 | t_train=12.73 | t_val=12.08 | mem=383.9 | psnr_b100=27.459, psnr_set14=28.136, psnr_set5=32.086, psnr_urban100=25.790, ssim_b100=0.732, ssim_set14=0.857, ssim_set5=0.910, ssim_urban100=0.959 |
     9 | train=0.007473 | val=nan | lr=0.00756 | t_train=12.74 | t_val=12.09 | mem=383.9 | psnr_b100=27.339, psnr_set14=28.048, psnr_set5=31.826, psnr_urban100=25.611, ssim_b100=0.728, ssim_set14=0.855, ssim_set5=0.907, ssim_urban100=0.958 |
    10 | train=0.005962 | val=nan | lr=0.00832 | t_train=12.70 | t_val=12.06 | mem=383.9 | psnr_b100=27.370, psnr_set14=27.977, psnr_set5=31.877, psnr_urban100=25.543, ssim_b100=0.729, ssim_set14=0.854, ssim_set5=0.905, ssim_urban100=0.957 |
    11 | train=0.008712 | val=nan | lr=0.00908 | t_train=12.73 | t_val=12.08 | mem=383.9 | psnr_b100=27.404, psnr_set14=28.012, psnr_set5=31.911, psnr_urban100=25.657, ssim_b100=0.729, ssim_set14=0.855, ssim_set5=0.906, ssim_urban100=0.958 |
    12 | train=0.007549 | val=nan | lr=0.00984 | t_train=12.67 | t_val=12.00 | mem=383.9 | psnr_b100=27.295, psnr_set14=27.906, psnr_set5=31.752, psnr_urban100=25.555, ssim_b100=0.729, ssim_set14=0.853, ssim_set5=0.905, ssim_urban100=0.957 |
    13 | train=0.017340 | val=nan | lr=0.0106 | t_train=12.70 | t_val=12.04 | mem=383.9 | psnr_b100=26.918, psnr_set14=27.453, psnr_set5=30.960, psnr_urban100=25.088, ssim_b100=0.696, ssim_set14=0.828, ssim_set5=0.870, ssim_urban100=0.953 |
    14 | train=0.012275 | val=nan | lr=0.01136 | t_train=12.75 | t_val=12.10 | mem=383.9 | psnr_b100=26.987, psnr_set14=27.411, psnr_set5=30.947, psnr_urban100=24.949, ssim_b100=0.707, ssim_set14=0.837, ssim_set5=0.878, ssim_urban100=0.952 |
    15 | train=0.012241 | val=nan | lr=0.01212 | t_train=12.74 | t_val=12.08 | mem=383.9 | psnr_b100=27.021, psnr_set14=27.477, psnr_set5=30.979, psnr_urban100=25.091, ssim_b100=0.715, ssim_set14=0.846, ssim_set5=0.890, ssim_urban100=0.955 |
    16 | train=0.009276 | val=nan | lr=0.01288 | t_train=12.74 | t_val=12.09 | mem=383.9 | psnr_b100=27.214, psnr_set14=27.767, psnr_set5=31.472, psnr_urban100=25.226, ssim_b100=0.722, ssim_set14=0.850, ssim_set5=0.896, ssim_urban100=0.954 |
    17 | train=0.011148 | val=nan | lr=0.01364 | t_train=12.77 | t_val=12.11 | mem=383.9 | psnr_b100=27.118, psnr_set14=27.611, psnr_set5=31.334, psnr_urban100=25.122, ssim_b100=0.719, ssim_set14=0.845, ssim_set5=0.891, ssim_urban100=0.953 |
    18 | train=0.010242 | val=nan | lr=0.0144 | t_train=12.75 | t_val=12.10 | mem=383.9 | psnr_b100=27.198, psnr_set14=27.731, psnr_set5=31.461, psnr_urban100=25.175, ssim_b100=0.721, ssim_set14=0.847, ssim_set5=0.894, ssim_urban100=0.954 |
    19 | train=0.011454 | val=nan | lr=0.01516 | t_train=12.79 | t_val=12.13 | mem=383.9 | psnr_b100=27.130, psnr_set14=27.616, psnr_set5=31.246, psnr_urban100=25.150, ssim_b100=0.718, ssim_set14=0.846, ssim_set5=0.889, ssim_urban100=0.953 |
    20 | train=0.013108 | val=nan | lr=0.01592 | t_train=12.78 | t_val=12.12 | mem=383.9 | psnr_b100=26.981, psnr_set14=27.418, psnr_set5=31.005, psnr_urban100=24.949, ssim_b100=0.697, ssim_set14=0.835, ssim_set5=0.874, ssim_urban100=0.951 |
    21 | train=0.023006 | val=nan | lr=0.01668 | t_train=12.73 | t_val=12.07 | mem=383.9 | psnr_b100=25.869, psnr_set14=26.086, psnr_set5=28.899, psnr_urban100=23.921, ssim_b100=0.636, ssim_set14=0.783, ssim_set5=0.800, ssim_urban100=0.940 |
    22 | train=0.031402 | val=nan | lr=0.01744 | t_train=12.73 | t_val=12.08 | mem=383.9 | psnr_b100=25.805, psnr_set14=25.894, psnr_set5=28.329, psnr_urban100=23.770, ssim_b100=0.597, ssim_set14=0.747, ssim_set5=0.748, ssim_urban100=0.939 |
    23 | train=0.042654 | val=nan | lr=0.0182 | t_train=12.82 | t_val=12.06 | mem=383.9 | psnr_b100=24.101, psnr_set14=23.911, psnr_set5=25.764, psnr_urban100=22.377, ssim_b100=0.496, ssim_set14=0.684, ssim_set5=0.676, ssim_urban100=0.924 |
    24 | train=0.835412 | val=nan | lr=0.01896 | t_train=12.76 | t_val=12.11 | mem=383.9 | psnr_b100=8.613, psnr_set14=8.689, psnr_set5=8.387, psnr_urban100=8.472, ssim_b100=0.015, ssim_set14=0.034, ssim_set5=0.023, ssim_urban100=0.166 |
    25 | train=4.627874 | val=nan | lr=0.01972 | t_train=12.73 | t_val=12.08 | mem=383.9 | psnr_b100=9.488, psnr_set14=9.263, psnr_set5=9.034, psnr_urban100=9.003, ssim_b100=0.011, ssim_set14=0.026, ssim_set5=0.019, ssim_urban100=0.175 |
    26 | train=12.143840 | val=nan | lr=0.02 | t_train=12.76 | t_val=12.10 | mem=383.9 | psnr_b100=9.167, psnr_set14=9.038, psnr_set5=8.397, psnr_urban100=8.624, ssim_b100=0.010, ssim_set14=0.024, ssim_set5=0.018, ssim_urban100=0.059 |
    27 | train=6.268071 | val=nan | lr=0.02 | t_train=12.70 | t_val=12.05 | mem=383.9 | psnr_b100=8.967, psnr_set14=9.095, psnr_set5=8.606, psnr_urban100=8.742, ssim_b100=0.014, ssim_set14=0.068, ssim_set5=0.029, ssim_urban100=0.163 |
