     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.73 | mem=248.9 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.057, psnr_urban100=26.141, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.82 | mem=250.8 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=21.07 | mem=250.9 | psnr_b100=27.621, psnr_set14=28.303, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.79 | mem=250.9 | psnr_b100=27.618, psnr_set14=28.302, psnr_set5=32.055, psnr_urban100=26.139, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
# epoch | train_loss | val_loss | LR | t_train(s) | t_val(s) | gpu_mem(MB) | SRBench(psnr/ssim...)
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.50 | mem=250.9 |
     0 | train=0.000785 | val=nan | lr=0.00036 | t_train=13.05 | t_val=12.23 | mem=383.9 | psnr_b100=27.619, psnr_set14=28.304, psnr_set5=32.343, psnr_urban100=26.136, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     1 | train=0.000855 | val=nan | lr=0.00074 | t_train=12.75 | t_val=12.09 | mem=383.9 | psnr_b100=27.618, psnr_set14=28.295, psnr_set5=32.338, psnr_urban100=26.136, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     2 | train=0.001057 | val=nan | lr=0.00112 | t_train=12.94 | t_val=12.17 | mem=383.9 | psnr_b100=27.616, psnr_set14=28.294, psnr_set5=32.335, psnr_urban100=26.127, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     3 | train=0.001049 | val=nan | lr=0.0015 | t_train=12.77 | t_val=12.10 | mem=383.9 | psnr_b100=27.608, psnr_set14=28.294, psnr_set5=32.325, psnr_urban100=26.098, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |
     4 | train=0.001903 | val=nan | lr=0.00188 | t_train=12.81 | t_val=12.15 | mem=383.9 | psnr_b100=27.599, psnr_set14=28.264, psnr_set5=32.298, psnr_urban100=26.102, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |
     5 | train=0.001960 | val=nan | lr=0.00226 | t_train=12.82 | t_val=12.16 | mem=383.9 | psnr_b100=27.585, psnr_set14=28.272, psnr_set5=32.312, psnr_urban100=26.069, ssim_b100=0.737, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
     6 | train=0.002155 | val=nan | lr=0.00264 | t_train=12.79 | t_val=12.13 | mem=383.9 | psnr_b100=27.589, psnr_set14=28.244, psnr_set5=32.339, psnr_urban100=26.071, ssim_b100=0.737, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
     7 | train=0.002871 | val=nan | lr=0.00302 | t_train=12.78 | t_val=12.12 | mem=383.9 | psnr_b100=27.558, psnr_set14=28.245, psnr_set5=32.314, psnr_urban100=26.000, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
     8 | train=0.002741 | val=nan | lr=0.0034 | t_train=12.81 | t_val=12.15 | mem=383.9 | psnr_b100=27.552, psnr_set14=28.195, psnr_set5=32.257, psnr_urban100=25.959, ssim_b100=0.736, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.961 |
     9 | train=0.003661 | val=nan | lr=0.00378 | t_train=12.81 | t_val=12.16 | mem=383.9 | psnr_b100=27.534, psnr_set14=28.139, psnr_set5=32.277, psnr_urban100=25.946, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.961 |
    10 | train=0.002556 | val=nan | lr=0.00416 | t_train=12.83 | t_val=12.18 | mem=383.9 | psnr_b100=27.540, psnr_set14=28.176, psnr_set5=32.218, psnr_urban100=25.946, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.961 |
    11 | train=0.003758 | val=nan | lr=0.00454 | t_train=12.79 | t_val=12.12 | mem=383.9 | psnr_b100=27.519, psnr_set14=28.202, psnr_set5=32.199, psnr_urban100=25.889, ssim_b100=0.734, ssim_set14=0.859, ssim_set5=0.912, ssim_urban100=0.961 |
    12 | train=0.004097 | val=nan | lr=0.00492 | t_train=13.08 | t_val=12.43 | mem=383.9 | psnr_b100=27.511, psnr_set14=28.097, psnr_set5=32.087, psnr_urban100=25.862, ssim_b100=0.734, ssim_set14=0.858, ssim_set5=0.911, ssim_urban100=0.960 |
    13 | train=0.005182 | val=nan | lr=0.0053 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=27.443, psnr_set14=28.086, psnr_set5=32.047, psnr_urban100=25.708, ssim_b100=0.732, ssim_set14=0.857, ssim_set5=0.910, ssim_urban100=0.958 |
    14 | train=0.005086 | val=nan | lr=0.00568 | t_train=12.83 | t_val=12.18 | mem=383.9 | psnr_b100=27.463, psnr_set14=28.094, psnr_set5=32.067, psnr_urban100=25.760, ssim_b100=0.731, ssim_set14=0.856, ssim_set5=0.908, ssim_urban100=0.959 |
    15 | train=0.005239 | val=nan | lr=0.00606 | t_train=12.88 | t_val=12.22 | mem=383.9 | psnr_b100=27.448, psnr_set14=28.095, psnr_set5=32.079, psnr_urban100=25.743, ssim_b100=0.733, ssim_set14=0.858, ssim_set5=0.910, ssim_urban100=0.959 |
    16 | train=0.005848 | val=nan | lr=0.00644 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=27.419, psnr_set14=28.074, psnr_set5=31.991, psnr_urban100=25.648, ssim_b100=0.731, ssim_set14=0.857, ssim_set5=0.908, ssim_urban100=0.959 |
    17 | train=0.005641 | val=nan | lr=0.00682 | t_train=12.76 | t_val=12.11 | mem=383.9 | psnr_b100=27.345, psnr_set14=27.964, psnr_set5=31.848, psnr_urban100=25.543, ssim_b100=0.727, ssim_set14=0.854, ssim_set5=0.904, ssim_urban100=0.957 |
    18 | train=0.006543 | val=nan | lr=0.0072 | t_train=12.79 | t_val=12.14 | mem=383.9 | psnr_b100=27.406, psnr_set14=27.960, psnr_set5=31.951, psnr_urban100=25.642, ssim_b100=0.730, ssim_set14=0.855, ssim_set5=0.907, ssim_urban100=0.958 |
    19 | train=0.007985 | val=nan | lr=0.00758 | t_train=12.79 | t_val=12.14 | mem=383.9 | psnr_b100=27.379, psnr_set14=27.901, psnr_set5=31.873, psnr_urban100=25.551, ssim_b100=0.728, ssim_set14=0.854, ssim_set5=0.905, ssim_urban100=0.957 |
    20 | train=0.007899 | val=nan | lr=0.00796 | t_train=12.80 | t_val=12.15 | mem=383.9 | psnr_b100=27.152, psnr_set14=27.773, psnr_set5=31.554, psnr_urban100=25.353, ssim_b100=0.724, ssim_set14=0.853, ssim_set5=0.903, ssim_urban100=0.955 |
    21 | train=0.012937 | val=nan | lr=0.00834 | t_train=12.75 | t_val=12.10 | mem=383.9 | psnr_b100=27.054, psnr_set14=27.508, psnr_set5=31.058, psnr_urban100=25.170, ssim_b100=0.715, ssim_set14=0.845, ssim_set5=0.890, ssim_urban100=0.954 |
    22 | train=0.014352 | val=nan | lr=0.00872 | t_train=12.84 | t_val=12.19 | mem=383.9 | psnr_b100=26.645, psnr_set14=27.092, psnr_set5=30.279, psnr_urban100=24.878, ssim_b100=0.708, ssim_set14=0.836, ssim_set5=0.878, ssim_urban100=0.952 |
    23 | train=0.011606 | val=nan | lr=0.0091 | t_train=12.90 | t_val=12.13 | mem=383.9 | psnr_b100=27.209, psnr_set14=27.787, psnr_set5=31.571, psnr_urban100=25.317, ssim_b100=0.724, ssim_set14=0.851, ssim_set5=0.900, ssim_urban100=0.955 |
    24 | train=0.016065 | val=nan | lr=0.00948 | t_train=12.84 | t_val=12.19 | mem=383.9 | psnr_b100=27.135, psnr_set14=27.680, psnr_set5=31.369, psnr_urban100=25.234, ssim_b100=0.715, ssim_set14=0.845, ssim_set5=0.891, ssim_urban100=0.953 |
    25 | train=0.012322 | val=nan | lr=0.00986 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=27.136, psnr_set14=27.625, psnr_set5=31.387, psnr_urban100=25.209, ssim_b100=0.715, ssim_set14=0.842, ssim_set5=0.885, ssim_urban100=0.954 |
    26 | train=0.017535 | val=nan | lr=0.01 | t_train=12.81 | t_val=12.15 | mem=383.9 | psnr_b100=27.196, psnr_set14=27.699, psnr_set5=31.506, psnr_urban100=25.235, ssim_b100=0.721, ssim_set14=0.849, ssim_set5=0.897, ssim_urban100=0.954 |
    27 | train=0.028013 | val=nan | lr=0.01 | t_train=12.81 | t_val=12.16 | mem=383.9 | psnr_b100=27.123, psnr_set14=27.597, psnr_set5=31.267, psnr_urban100=25.134, ssim_b100=0.719, ssim_set14=0.848, ssim_set5=0.898, ssim_urban100=0.954 |
    28 | train=0.039364 | val=nan | lr=0.01 | t_train=12.78 | t_val=12.13 | mem=383.9 | psnr_b100=27.239, psnr_set14=27.787, psnr_set5=31.611, psnr_urban100=25.259, ssim_b100=0.719, ssim_set14=0.848, ssim_set5=0.898, ssim_urban100=0.954 |
    29 | train=0.045123 | val=nan | lr=0.01 | t_train=12.80 | t_val=12.14 | mem=383.9 | psnr_b100=27.167, psnr_set14=27.620, psnr_set5=31.423, psnr_urban100=25.165, ssim_b100=0.721, ssim_set14=0.848, ssim_set5=0.894, ssim_urban100=0.954 |
    30 | train=0.049793 | val=nan | lr=0.01 | t_train=12.72 | t_val=12.07 | mem=383.9 | psnr_b100=27.189, psnr_set14=27.650, psnr_set5=31.527, psnr_urban100=25.134, ssim_b100=0.721, ssim_set14=0.849, ssim_set5=0.898, ssim_urban100=0.953 |
    31 | train=0.053563 | val=nan | lr=0.01 | t_train=12.96 | t_val=12.30 | mem=383.9 | psnr_b100=27.102, psnr_set14=27.705, psnr_set5=31.546, psnr_urban100=25.121, ssim_b100=0.724, ssim_set14=0.852, ssim_set5=0.903, ssim_urban100=0.954 |
    32 | train=0.060305 | val=nan | lr=0.01 | t_train=12.82 | t_val=12.16 | mem=383.9 | psnr_b100=27.175, psnr_set14=27.709, psnr_set5=31.354, psnr_urban100=25.107, ssim_b100=0.719, ssim_set14=0.848, ssim_set5=0.895, ssim_urban100=0.952 |
    33 | train=0.054477 | val=nan | lr=0.01 | t_train=12.87 | t_val=12.21 | mem=383.9 | psnr_b100=27.104, psnr_set14=27.653, psnr_set5=31.412, psnr_urban100=25.085, ssim_b100=0.718, ssim_set14=0.849, ssim_set5=0.899, ssim_urban100=0.953 |
    34 | train=0.051898 | val=nan | lr=0.01 | t_train=12.81 | t_val=12.08 | mem=383.9 | psnr_b100=27.136, psnr_set14=27.613, psnr_set5=31.285, psnr_urban100=25.032, ssim_b100=0.718, ssim_set14=0.849, ssim_set5=0.896, ssim_urban100=0.952 |
    35 | train=0.043844 | val=nan | lr=0.01 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=27.048, psnr_set14=27.620, psnr_set5=31.340, psnr_urban100=24.890, ssim_b100=0.719, ssim_set14=0.846, ssim_set5=0.896, ssim_urban100=0.950 |
    36 | train=0.036583 | val=nan | lr=0.01 | t_train=12.80 | t_val=12.14 | mem=383.9 | psnr_b100=27.096, psnr_set14=27.536, psnr_set5=31.333, psnr_urban100=24.877, ssim_b100=0.720, ssim_set14=0.846, ssim_set5=0.895, ssim_urban100=0.950 |
    37 | train=0.029295 | val=nan | lr=0.01 | t_train=12.80 | t_val=12.13 | mem=383.9 | psnr_b100=27.081, psnr_set14=27.532, psnr_set5=31.276, psnr_urban100=24.821, ssim_b100=0.719, ssim_set14=0.847, ssim_set5=0.896, ssim_urban100=0.949 |
    38 | train=0.021414 | val=nan | lr=0.01 | t_train=12.75 | t_val=12.09 | mem=383.9 | psnr_b100=27.124, psnr_set14=27.588, psnr_set5=31.332, psnr_urban100=24.847, ssim_b100=0.720, ssim_set14=0.846, ssim_set5=0.894, ssim_urban100=0.949 |
    39 | train=0.018293 | val=nan | lr=0.01 | t_train=12.79 | t_val=12.12 | mem=383.9 | psnr_b100=26.921, psnr_set14=27.239, psnr_set5=30.711, psnr_urban100=24.608, ssim_b100=0.712, ssim_set14=0.841, ssim_set5=0.888, ssim_urban100=0.947 |
