     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.76 | mem=248.9 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.057, psnr_urban100=26.141, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.78 | mem=250.8 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.95 | mem=250.9 | psnr_b100=27.621, psnr_set14=28.303, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.69 | mem=250.9 | psnr_b100=27.618, psnr_set14=28.302, psnr_set5=32.055, psnr_urban100=26.139, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
# epoch | train_loss | val_loss | LR | t_train(s) | t_val(s) | gpu_mem(MB) | SRBench(psnr/ssim...)
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.54 | mem=250.9 |
     0 | train=0.000777 | val=nan | lr=7.2e-05 | t_train=12.94 | t_val=12.16 | mem=383.9 | psnr_b100=27.619, psnr_set14=28.301, psnr_set5=32.348, psnr_urban100=26.139, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     1 | train=0.000745 | val=nan | lr=0.000148 | t_train=12.82 | t_val=12.16 | mem=383.9 | psnr_b100=27.617, psnr_set14=28.296, psnr_set5=32.345, psnr_urban100=26.135, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     2 | train=0.000686 | val=nan | lr=0.000224 | t_train=12.86 | t_val=12.09 | mem=383.9 | psnr_b100=27.617, psnr_set14=28.296, psnr_set5=32.342, psnr_urban100=26.136, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     3 | train=0.000843 | val=nan | lr=0.0003 | t_train=12.77 | t_val=12.11 | mem=383.9 | psnr_b100=27.617, psnr_set14=28.300, psnr_set5=32.344, psnr_urban100=26.134, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     4 | train=0.000844 | val=nan | lr=0.000376 | t_train=12.75 | t_val=12.09 | mem=383.9 | psnr_b100=27.616, psnr_set14=28.301, psnr_set5=32.343, psnr_urban100=26.128, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     5 | train=0.000797 | val=nan | lr=0.000452 | t_train=12.86 | t_val=12.19 | mem=383.9 | psnr_b100=27.615, psnr_set14=28.308, psnr_set5=32.355, psnr_urban100=26.134, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.915, ssim_urban100=0.963 |
     6 | train=0.000997 | val=nan | lr=0.000528 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=27.616, psnr_set14=28.299, psnr_set5=32.343, psnr_urban100=26.134, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     7 | train=0.001392 | val=nan | lr=0.000604 | t_train=12.72 | t_val=12.06 | mem=383.9 | psnr_b100=27.612, psnr_set14=28.284, psnr_set5=32.334, psnr_urban100=26.130, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     8 | train=0.001118 | val=nan | lr=0.00068 | t_train=12.77 | t_val=12.10 | mem=383.9 | psnr_b100=27.613, psnr_set14=28.291, psnr_set5=32.336, psnr_urban100=26.128, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     9 | train=0.001554 | val=nan | lr=0.000756 | t_train=12.74 | t_val=12.08 | mem=383.9 | psnr_b100=27.605, psnr_set14=28.280, psnr_set5=32.319, psnr_urban100=26.112, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |
    10 | train=0.001186 | val=nan | lr=0.000832 | t_train=12.76 | t_val=12.10 | mem=383.9 | psnr_b100=27.604, psnr_set14=28.281, psnr_set5=32.306, psnr_urban100=26.100, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |
    11 | train=0.001780 | val=nan | lr=0.000908 | t_train=12.77 | t_val=12.10 | mem=383.9 | psnr_b100=27.606, psnr_set14=28.309, psnr_set5=32.346, psnr_urban100=26.105, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
    12 | train=0.001481 | val=nan | lr=0.000984 | t_train=12.76 | t_val=12.10 | mem=383.9 | psnr_b100=27.611, psnr_set14=28.290, psnr_set5=32.331, psnr_urban100=26.095, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |
    13 | train=0.001700 | val=nan | lr=0.00106 | t_train=12.78 | t_val=12.13 | mem=383.9 | psnr_b100=27.598, psnr_set14=28.281, psnr_set5=32.324, psnr_urban100=26.066, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |
    14 | train=0.001801 | val=nan | lr=0.001136 | t_train=12.74 | t_val=12.08 | mem=383.9 | psnr_b100=27.599, psnr_set14=28.289, psnr_set5=32.333, psnr_urban100=26.082, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |
    15 | train=0.001826 | val=nan | lr=0.001212 | t_train=12.75 | t_val=12.08 | mem=383.9 | psnr_b100=27.584, psnr_set14=28.268, psnr_set5=32.282, psnr_urban100=26.063, ssim_b100=0.737, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
    16 | train=0.001901 | val=nan | lr=0.001288 | t_train=12.80 | t_val=12.15 | mem=383.9 | psnr_b100=27.564, psnr_set14=28.224, psnr_set5=32.253, psnr_urban100=25.996, ssim_b100=0.736, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.962 |
    17 | train=0.001925 | val=nan | lr=0.001364 | t_train=12.79 | t_val=12.12 | mem=383.9 | psnr_b100=27.595, psnr_set14=28.273, psnr_set5=32.328, psnr_urban100=26.088, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |
    18 | train=0.002222 | val=nan | lr=0.00144 | t_train=12.70 | t_val=12.04 | mem=383.9 | psnr_b100=27.582, psnr_set14=28.235, psnr_set5=32.302, psnr_urban100=26.076, ssim_b100=0.737, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
