    17 | train=0.002133 | val=nan | lr=0.001364 | t_train=12.75 | t_val=12.09 | mem=383.9 | psnr_b100=27.590, psnr_set14=28.255, psnr_set5=32.293, psnr_urban100=26.075, ssim_b100=0.737, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
    18 | train=0.002012 | val=nan | lr=0.00144 | t_train=12.75 | t_val=12.09 | mem=383.9 | psnr_b100=27.578, psnr_set14=28.260, psnr_set5=32.269, psnr_urban100=26.046, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.962 |
    19 | train=0.002738 | val=nan | lr=0.001516 | t_train=12.79 | t_val=12.14 | mem=383.9 | psnr_b100=27.579, psnr_set14=28.259, psnr_set5=32.317, psnr_urban100=26.052, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
    20 | train=0.002751 | val=nan | lr=0.001592 | t_train=12.72 | t_val=12.06 | mem=383.9 | psnr_b100=27.558, psnr_set14=28.262, psnr_set5=32.259, psnr_urban100=25.996, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.962 |
    21 | train=0.002439 | val=nan | lr=0.001668 | t_train=12.68 | t_val=12.03 | mem=383.9 | psnr_b100=27.572, psnr_set14=28.266, psnr_set5=32.287, psnr_urban100=26.048, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
    22 | train=0.002198 | val=nan | lr=0.001744 | t_train=12.76 | t_val=12.10 | mem=383.9 | psnr_b100=27.532, psnr_set14=28.229, psnr_set5=32.230, psnr_urban100=25.974, ssim_b100=0.734, ssim_set14=0.859, ssim_set5=0.912, ssim_urban100=0.961 |
    23 | train=0.002760 | val=nan | lr=0.00182 | t_train=12.89 | t_val=12.12 | mem=383.9 | psnr_b100=27.563, psnr_set14=28.261, psnr_set5=32.271, psnr_urban100=26.021, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.961 |
    24 | train=0.003260 | val=nan | lr=0.001896 | t_train=12.72 | t_val=12.06 | mem=383.9 | psnr_b100=27.544, psnr_set14=28.236, psnr_set5=32.252, psnr_urban100=26.005, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.961 |
    25 | train=0.002321 | val=nan | lr=0.001972 | t_train=12.81 | t_val=12.15 | mem=383.9 | psnr_b100=27.519, psnr_set14=28.214, psnr_set5=32.271, psnr_urban100=25.929, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.960 |
    26 | train=0.003469 | val=nan | lr=0.002 | t_train=12.75 | t_val=12.10 | mem=383.9 | psnr_b100=27.541, psnr_set14=28.247, psnr_set5=32.289, psnr_urban100=25.964, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.961 |
    27 | train=0.003682 | val=nan | lr=0.002 | t_train=12.72 | t_val=12.06 | mem=383.9 | psnr_b100=27.534, psnr_set14=28.198, psnr_set5=32.286, psnr_urban100=25.950, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.914, ssim_urban100=0.961 |
    28 | train=0.004574 | val=nan | lr=0.002 | t_train=12.75 | t_val=12.09 | mem=383.9 | psnr_b100=27.542, psnr_set14=28.228, psnr_set5=32.267, psnr_urban100=25.940, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.960 |
    29 | train=0.005708 | val=nan | lr=0.002 | t_train=12.81 | t_val=12.16 | mem=383.9 | psnr_b100=27.521, psnr_set14=28.212, psnr_set5=32.230, psnr_urban100=25.943, ssim_b100=0.734, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.960 |
    30 | train=0.006277 | val=nan | lr=0.002 | t_train=12.82 | t_val=12.17 | mem=383.9 | psnr_b100=27.523, psnr_set14=28.211, psnr_set5=32.252, psnr_urban100=25.928, ssim_b100=0.734, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.960 |
    31 | train=0.007244 | val=nan | lr=0.002 | t_train=12.83 | t_val=12.18 | mem=383.9 | psnr_b100=27.524, psnr_set14=28.184, psnr_set5=32.200, psnr_urban100=25.925, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.912, ssim_urban100=0.960 |
    32 | train=0.008726 | val=nan | lr=0.002 | t_train=12.79 | t_val=12.13 | mem=383.9 | psnr_b100=27.523, psnr_set14=28.211, psnr_set5=32.275, psnr_urban100=25.947, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.961 |
    33 | train=0.010627 | val=nan | lr=0.002 | t_train=12.77 | t_val=12.10 | mem=383.9 | psnr_b100=27.536, psnr_set14=28.219, psnr_set5=32.216, psnr_urban100=25.952, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.961 |
    34 | train=0.011323 | val=nan | lr=0.002 | t_train=12.85 | t_val=12.12 | mem=383.9 | psnr_b100=27.518, psnr_set14=28.199, psnr_set5=32.172, psnr_urban100=25.918, ssim_b100=0.734, ssim_set14=0.859, ssim_set5=0.912, ssim_urban100=0.960 |
    35 | train=0.013028 | val=nan | lr=0.002 | t_train=12.79 | t_val=12.14 | mem=383.9 | psnr_b100=27.497, psnr_set14=28.139, psnr_set5=32.146, psnr_urban100=25.893, ssim_b100=0.734, ssim_set14=0.858, ssim_set5=0.912, ssim_urban100=0.960 |
    36 | train=0.011807 | val=nan | lr=0.002 | t_train=12.79 | t_val=12.15 | mem=383.9 | psnr_b100=27.508, psnr_set14=28.158, psnr_set5=32.201, psnr_urban100=25.873, ssim_b100=0.734, ssim_set14=0.858, ssim_set5=0.912, ssim_urban100=0.960 |
    37 | train=0.013640 | val=nan | lr=0.002 | t_train=12.76 | t_val=12.11 | mem=383.9 | psnr_b100=27.495, psnr_set14=28.158, psnr_set5=32.150, psnr_urban100=25.865, ssim_b100=0.734, ssim_set14=0.859, ssim_set5=0.912, ssim_urban100=0.960 |
    38 | train=0.013465 | val=nan | lr=0.002 | t_train=12.74 | t_val=12.08 | mem=383.9 | psnr_b100=27.476, psnr_set14=28.150, psnr_set5=32.138, psnr_urban100=25.827, ssim_b100=0.733, ssim_set14=0.858, ssim_set5=0.911, ssim_urban100=0.960 |
    39 | train=0.014459 | val=nan | lr=0.002 | t_train=12.84 | t_val=12.18 | mem=383.9 | psnr_b100=27.495, psnr_set14=28.163, psnr_set5=32.161, psnr_urban100=25.835, ssim_b100=0.734, ssim_set14=0.859, ssim_set5=0.912, ssim_urban100=0.960 |
    40 | train=0.015748 | val=nan | lr=0.002 | t_train=12.75 | t_val=12.10 | mem=383.9 | psnr_b100=27.493, psnr_set14=28.167, psnr_set5=32.255, psnr_urban100=25.855, ssim_b100=0.734, ssim_set14=0.858, ssim_set5=0.913, ssim_urban100=0.960 |
    41 | train=0.016617 | val=nan | lr=0.002 | t_train=12.76 | t_val=12.10 | mem=383.9 | psnr_b100=27.486, psnr_set14=28.122, psnr_set5=32.229, psnr_urban100=25.822, ssim_b100=0.733, ssim_set14=0.858, ssim_set5=0.912, ssim_urban100=0.959 |
    42 | train=0.016744 | val=nan | lr=0.002 | t_train=12.79 | t_val=12.13 | mem=383.9 | psnr_b100=27.458, psnr_set14=28.126, psnr_set5=32.139, psnr_urban100=25.730, ssim_b100=0.733, ssim_set14=0.857, ssim_set5=0.911, ssim_urban100=0.959 |
    43 | train=0.018634 | val=nan | lr=0.002 | t_train=12.73 | t_val=12.07 | mem=383.9 | psnr_b100=27.361, psnr_set14=28.007, psnr_set5=31.973, psnr_urban100=25.636, ssim_b100=0.731, ssim_set14=0.856, ssim_set5=0.910, ssim_urban100=0.958 |
    44 | train=0.019785 | val=nan | lr=0.002 | t_train=12.75 | t_val=12.09 | mem=383.9 | psnr_b100=27.458, psnr_set14=28.109, psnr_set5=32.124, psnr_urban100=25.733, ssim_b100=0.733, ssim_set14=0.858, ssim_set5=0.911, ssim_urban100=0.959 |
    45 | train=0.019445 | val=nan | lr=0.002 | t_train=12.76 | t_val=12.10 | mem=383.9 | psnr_b100=27.479, psnr_set14=28.131, psnr_set5=32.201, psnr_urban100=25.799, ssim_b100=0.733, ssim_set14=0.858, ssim_set5=0.912, ssim_urban100=0.959 |
    46 | train=0.020011 | val=nan | lr=0.002 | t_train=12.73 | t_val=12.08 | mem=383.9 | psnr_b100=27.450, psnr_set14=28.048, psnr_set5=32.101, psnr_urban100=25.742, ssim_b100=0.733, ssim_set14=0.857, ssim_set5=0.911, ssim_urban100=0.958 |
    47 | train=0.020751 | val=nan | lr=0.002 | t_train=12.82 | t_val=12.16 | mem=383.9 | psnr_b100=27.424, psnr_set14=28.065, psnr_set5=32.139, psnr_urban100=25.684, ssim_b100=0.732, ssim_set14=0.857, ssim_set5=0.911, ssim_urban100=0.958 |
    48 | train=0.021680 | val=nan | lr=0.002 | t_train=12.78 | t_val=12.12 | mem=383.9 | psnr_b100=27.423, psnr_set14=28.087, psnr_set5=32.119, psnr_urban100=25.706, ssim_b100=0.732, ssim_set14=0.857, ssim_set5=0.911, ssim_urban100=0.958 |
    49 | train=0.023213 | val=nan | lr=0.002 | t_train=12.75 | t_val=12.09 | mem=383.9 | psnr_b100=27.448, psnr_set14=28.072, psnr_set5=32.144, psnr_urban100=25.714, ssim_b100=0.733, ssim_set14=0.857, ssim_set5=0.911, ssim_urban100=0.959 |
    50 | train=0.022976 | val=nan | lr=0.002 | t_train=12.75 | t_val=12.10 | mem=383.9 | psnr_b100=27.356, psnr_set14=28.023, psnr_set5=32.072, psnr_urban100=25.643, ssim_b100=0.731, ssim_set14=0.856, ssim_set5=0.910, ssim_urban100=0.958 |
    51 | train=0.023619 | val=nan | lr=0.002 | t_train=12.76 | t_val=12.09 | mem=383.9 | psnr_b100=27.365, psnr_set14=28.039, psnr_set5=32.087, psnr_urban100=25.617, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.911, ssim_urban100=0.957 |
    52 | train=0.025849 | val=nan | lr=0.002 | t_train=12.82 | t_val=12.17 | mem=383.9 | psnr_b100=27.328, psnr_set14=27.987, psnr_set5=32.010, psnr_urban100=25.554, ssim_b100=0.729, ssim_set14=0.855, ssim_set5=0.909, ssim_urban100=0.956 |
    53 | train=0.025482 | val=nan | lr=0.002 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=27.329, psnr_set14=27.974, psnr_set5=32.050, psnr_urban100=25.481, ssim_b100=0.729, ssim_set14=0.856, ssim_set5=0.910, ssim_urban100=0.956 |
    54 | train=0.026191 | val=nan | lr=0.002 | t_train=12.86 | t_val=12.12 | mem=383.9 | psnr_b100=27.334, psnr_set14=28.005, psnr_set5=32.141, psnr_urban100=25.556, ssim_b100=0.729, ssim_set14=0.856, ssim_set5=0.911, ssim_urban100=0.957 |
    55 | train=0.025958 | val=nan | lr=0.002 | t_train=12.80 | t_val=12.15 | mem=383.9 | psnr_b100=27.313, psnr_set14=27.993, psnr_set5=32.041, psnr_urban100=25.560, ssim_b100=0.729, ssim_set14=0.855, ssim_set5=0.910, ssim_urban100=0.957 |
    56 | train=0.026321 | val=nan | lr=0.002 | t_train=12.81 | t_val=12.15 | mem=383.9 | psnr_b100=27.378, psnr_set14=28.050, psnr_set5=32.149, psnr_urban100=25.659, ssim_b100=0.731, ssim_set14=0.857, ssim_set5=0.912, ssim_urban100=0.958 |
    57 | train=0.027445 | val=nan | lr=0.002 | t_train=12.78 | t_val=12.13 | mem=383.9 | psnr_b100=27.353, psnr_set14=28.043, psnr_set5=32.078, psnr_urban100=25.597, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.910, ssim_urban100=0.957 |
    58 | train=0.027066 | val=nan | lr=0.002 | t_train=12.74 | t_val=12.08 | mem=383.9 | psnr_b100=27.326, psnr_set14=28.020, psnr_set5=32.106, psnr_urban100=25.547, ssim_b100=0.729, ssim_set14=0.856, ssim_set5=0.910, ssim_urban100=0.957 |
    59 | train=0.027092 | val=nan | lr=0.002 | t_train=12.74 | t_val=12.08 | mem=383.9 | psnr_b100=27.344, psnr_set14=28.004, psnr_set5=32.046, psnr_urban100=25.521, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.910, ssim_urban100=0.956 |
    60 | train=0.027605 | val=nan | lr=0.002 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=27.343, psnr_set14=27.986, psnr_set5=32.076, psnr_urban100=25.555, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.910, ssim_urban100=0.957 |
    61 | train=0.028138 | val=nan | lr=0.002 | t_train=12.81 | t_val=12.15 | mem=383.9 | psnr_b100=27.352, psnr_set14=27.986, psnr_set5=32.030, psnr_urban100=25.554, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.910, ssim_urban100=0.957 |
    62 | train=0.028665 | val=nan | lr=0.002 | t_train=12.79 | t_val=12.12 | mem=383.9 | psnr_b100=27.401, psnr_set14=28.045, psnr_set5=32.076, psnr_urban100=25.642, ssim_b100=0.731, ssim_set14=0.857, ssim_set5=0.910, ssim_urban100=0.958 |
    63 | train=0.028861 | val=nan | lr=0.002 | t_train=12.82 | t_val=12.16 | mem=383.9 | psnr_b100=27.335, psnr_set14=28.004, psnr_set5=31.962, psnr_urban100=25.515, ssim_b100=0.729, ssim_set14=0.856, ssim_set5=0.908, ssim_urban100=0.957 |
    64 | train=0.029777 | val=nan | lr=0.002 | t_train=12.82 | t_val=12.15 | mem=383.9 | psnr_b100=27.347, psnr_set14=28.007, psnr_set5=31.960, psnr_urban100=25.508, ssim_b100=0.729, ssim_set14=0.856, ssim_set5=0.908, ssim_urban100=0.957 |
    65 | train=0.030592 | val=nan | lr=0.002 | t_train=12.79 | t_val=12.06 | mem=383.9 | psnr_b100=27.361, psnr_set14=28.041, psnr_set5=32.070, psnr_urban100=25.546, ssim_b100=0.730, ssim_set14=0.857, ssim_set5=0.910, ssim_urban100=0.957 |
    66 | train=0.032863 | val=nan | lr=0.002 | t_train=12.82 | t_val=12.16 | mem=383.9 | psnr_b100=27.314, psnr_set14=27.984, psnr_set5=31.871, psnr_urban100=25.477, ssim_b100=0.728, ssim_set14=0.855, ssim_set5=0.907, ssim_urban100=0.957 |
    67 | train=0.029659 | val=nan | lr=0.002 | t_train=12.79 | t_val=12.13 | mem=383.9 | psnr_b100=27.356, psnr_set14=27.983, psnr_set5=31.916, psnr_urban100=25.483, ssim_b100=0.729, ssim_set14=0.856, ssim_set5=0.907, ssim_urban100=0.957 |
    68 | train=0.030576 | val=nan | lr=0.002 | t_train=12.75 | t_val=12.11 | mem=383.9 | psnr_b100=27.377, psnr_set14=28.035, psnr_set5=32.033, psnr_urban100=25.538, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.909, ssim_urban100=0.957 |
    69 | train=0.030716 | val=nan | lr=0.002 | t_train=12.71 | t_val=12.06 | mem=383.9 | psnr_b100=27.328, psnr_set14=27.979, psnr_set5=31.887, psnr_urban100=25.467, ssim_b100=0.728, ssim_set14=0.856, ssim_set5=0.907, ssim_urban100=0.957 |
    70 | train=0.030653 | val=nan | lr=0.002 | t_train=12.75 | t_val=12.09 | mem=383.9 | psnr_b100=27.326, psnr_set14=27.945, psnr_set5=31.890, psnr_urban100=25.449, ssim_b100=0.729, ssim_set14=0.856, ssim_set5=0.908, ssim_urban100=0.957 |
    71 | train=0.031928 | val=nan | lr=0.002 | t_train=12.72 | t_val=12.07 | mem=383.9 | psnr_b100=27.409, psnr_set14=28.069, psnr_set5=32.017, psnr_urban100=25.575, ssim_b100=0.731, ssim_set14=0.857, ssim_set5=0.909, ssim_urban100=0.958 |
    72 | train=0.030205 | val=nan | lr=0.002 | t_train=12.78 | t_val=12.12 | mem=383.9 | psnr_b100=27.381, psnr_set14=28.081, psnr_set5=32.014, psnr_urban100=25.548, ssim_b100=0.730, ssim_set14=0.857, ssim_set5=0.909, ssim_urban100=0.958 |
    73 | train=0.030826 | val=nan | lr=0.002 | t_train=12.81 | t_val=12.14 | mem=383.9 | psnr_b100=27.420, psnr_set14=28.100, psnr_set5=32.059, psnr_urban100=25.625, ssim_b100=0.731, ssim_set14=0.858, ssim_set5=0.910, ssim_urban100=0.958 |
    74 | train=0.029889 | val=nan | lr=0.002 | t_train=12.73 | t_val=12.07 | mem=383.9 | psnr_b100=27.302, psnr_set14=27.946, psnr_set5=31.858, psnr_urban100=25.422, ssim_b100=0.728, ssim_set14=0.855, ssim_set5=0.907, ssim_urban100=0.956 |
    75 | train=0.030976 | val=nan | lr=0.002 | t_train=12.71 | t_val=12.05 | mem=383.9 | psnr_b100=27.387, psnr_set14=28.017, psnr_set5=31.992, psnr_urban100=25.518, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.909, ssim_urban100=0.957 |
    76 | train=0.029837 | val=nan | lr=0.002 | t_train=12.75 | t_val=12.09 | mem=383.9 | psnr_b100=27.372, psnr_set14=28.024, psnr_set5=31.987, psnr_urban100=25.517, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.909, ssim_urban100=0.957 |
    77 | train=0.029661 | val=nan | lr=0.002 | t_train=12.74 | t_val=12.09 | mem=383.9 | psnr_b100=27.369, psnr_set14=28.053, psnr_set5=31.910, psnr_urban100=25.566, ssim_b100=0.729, ssim_set14=0.856, ssim_set5=0.908, ssim_urban100=0.958 |
    78 | train=0.029237 | val=nan | lr=0.002 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=27.375, psnr_set14=28.025, psnr_set5=31.893, psnr_urban100=25.481, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.907, ssim_urban100=0.957 |
