     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.73 | mem=248.9 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.057, psnr_urban100=26.141, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.65 | mem=250.8 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.81 | mem=250.9 | psnr_b100=27.621, psnr_set14=28.303, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.49 | mem=250.9 | psnr_b100=27.618, psnr_set14=28.302, psnr_set5=32.055, psnr_urban100=26.139, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
# epoch | train_loss | val_loss | LR | t_train(s) | t_val(s) | gpu_mem(MB) | SRBench(psnr/ssim...)
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.46 | mem=250.9 |
     0 | train=0.000918 | val=nan | lr=0.00072 | t_train=12.93 | t_val=12.15 | mem=383.9 | psnr_b100=27.618, psnr_set14=28.303, psnr_set5=32.348, psnr_urban100=26.134, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     1 | train=0.001080 | val=nan | lr=0.00148 | t_train=12.90 | t_val=12.26 | mem=383.9 | psnr_b100=27.619, psnr_set14=28.297, psnr_set5=32.348, psnr_urban100=26.132, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     2 | train=0.001577 | val=nan | lr=0.00224 | t_train=12.84 | t_val=12.09 | mem=383.9 | psnr_b100=27.604, psnr_set14=28.284, psnr_set5=32.310, psnr_urban100=26.105, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     3 | train=0.001783 | val=nan | lr=0.003 | t_train=12.71 | t_val=12.06 | mem=383.9 | psnr_b100=27.591, psnr_set14=28.245, psnr_set5=32.288, psnr_urban100=26.085, ssim_b100=0.737, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
     4 | train=0.002652 | val=nan | lr=0.00376 | t_train=12.75 | t_val=12.10 | mem=383.9 | psnr_b100=27.556, psnr_set14=28.188, psnr_set5=32.268, psnr_urban100=26.028, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
     5 | train=0.002768 | val=nan | lr=0.00452 | t_train=12.69 | t_val=12.04 | mem=383.9 | psnr_b100=27.570, psnr_set14=28.236, psnr_set5=32.245, psnr_urban100=26.025, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.961 |
     6 | train=0.003138 | val=nan | lr=0.00528 | t_train=12.75 | t_val=12.10 | mem=383.9 | psnr_b100=27.541, psnr_set14=28.236, psnr_set5=32.234, psnr_urban100=25.936, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.961 |
     7 | train=0.004974 | val=nan | lr=0.00604 | t_train=12.76 | t_val=12.12 | mem=383.9 | psnr_b100=27.518, psnr_set14=28.132, psnr_set5=32.177, psnr_urban100=25.850, ssim_b100=0.734, ssim_set14=0.858, ssim_set5=0.912, ssim_urban100=0.960 |
     8 | train=0.004138 | val=nan | lr=0.0068 | t_train=12.75 | t_val=12.10 | mem=383.9 | psnr_b100=27.468, psnr_set14=28.142, psnr_set5=32.131, psnr_urban100=25.790, ssim_b100=0.733, ssim_set14=0.857, ssim_set5=0.910, ssim_urban100=0.959 |
     9 | train=0.004380 | val=nan | lr=0.00756 | t_train=12.76 | t_val=12.10 | mem=383.9 | psnr_b100=27.472, psnr_set14=28.148, psnr_set5=32.131, psnr_urban100=25.746, ssim_b100=0.732, ssim_set14=0.858, ssim_set5=0.910, ssim_urban100=0.959 |
    10 | train=0.007435 | val=nan | lr=0.00832 | t_train=12.73 | t_val=12.08 | mem=383.9 | psnr_b100=27.359, psnr_set14=27.979, psnr_set5=31.696, psnr_urban100=25.624, ssim_b100=0.729, ssim_set14=0.855, ssim_set5=0.906, ssim_urban100=0.958 |
    11 | train=0.008342 | val=nan | lr=0.00908 | t_train=12.77 | t_val=12.10 | mem=383.9 | psnr_b100=27.343, psnr_set14=27.952, psnr_set5=31.850, psnr_urban100=25.515, ssim_b100=0.728, ssim_set14=0.854, ssim_set5=0.907, ssim_urban100=0.957 |
    12 | train=0.009586 | val=nan | lr=0.00984 | t_train=12.76 | t_val=12.10 | mem=383.9 | psnr_b100=27.262, psnr_set14=27.804, psnr_set5=31.570, psnr_urban100=25.408, ssim_b100=0.722, ssim_set14=0.850, ssim_set5=0.900, ssim_urban100=0.957 |
    13 | train=0.007995 | val=nan | lr=0.0106 | t_train=12.74 | t_val=12.09 | mem=383.9 | psnr_b100=27.280, psnr_set14=27.909, psnr_set5=31.817, psnr_urban100=25.453, ssim_b100=0.725, ssim_set14=0.852, ssim_set5=0.902, ssim_urban100=0.956 |
    14 | train=0.006981 | val=nan | lr=0.01136 | t_train=12.76 | t_val=12.10 | mem=383.9 | psnr_b100=27.280, psnr_set14=27.811, psnr_set5=31.685, psnr_urban100=25.402, ssim_b100=0.724, ssim_set14=0.851, ssim_set5=0.900, ssim_urban100=0.955 |
    15 | train=0.008012 | val=nan | lr=0.01212 | t_train=12.75 | t_val=12.10 | mem=383.9 | psnr_b100=27.224, psnr_set14=27.733, psnr_set5=31.562, psnr_urban100=25.289, ssim_b100=0.723, ssim_set14=0.851, ssim_set5=0.900, ssim_urban100=0.954 |
    16 | train=0.013121 | val=nan | lr=0.01288 | t_train=12.75 | t_val=12.09 | mem=383.9 | psnr_b100=27.169, psnr_set14=27.653, psnr_set5=31.329, psnr_urban100=25.240, ssim_b100=0.717, ssim_set14=0.848, ssim_set5=0.893, ssim_urban100=0.955 |
    17 | train=0.012050 | val=nan | lr=0.01364 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=26.741, psnr_set14=27.131, psnr_set5=30.479, psnr_urban100=24.695, ssim_b100=0.687, ssim_set14=0.828, ssim_set5=0.865, ssim_urban100=0.948 |
    18 | train=0.016832 | val=nan | lr=0.0144 | t_train=12.76 | t_val=12.10 | mem=383.9 | psnr_b100=26.745, psnr_set14=27.081, psnr_set5=30.432, psnr_urban100=24.652, ssim_b100=0.686, ssim_set14=0.825, ssim_set5=0.868, ssim_urban100=0.946 |
    19 | train=0.023680 | val=nan | lr=0.01516 | t_train=12.78 | t_val=12.11 | mem=383.9 | psnr_b100=26.374, psnr_set14=26.649, psnr_set5=29.584, psnr_urban100=24.349, ssim_b100=0.652, ssim_set14=0.790, ssim_set5=0.804, ssim_urban100=0.942 |
    20 | train=1.718731 | val=nan | lr=0.01592 | t_train=12.74 | t_val=12.09 | mem=383.9 | psnr_b100=9.329, psnr_set14=9.299, psnr_set5=9.009, psnr_urban100=9.006, ssim_b100=0.012, ssim_set14=0.123, ssim_set5=0.068, ssim_urban100=0.149 |
    21 | train=2.450327 | val=nan | lr=0.01668 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=9.309, psnr_set14=9.020, psnr_set5=8.790, psnr_urban100=8.785, ssim_b100=0.012, ssim_set14=0.055, ssim_set5=0.047, ssim_urban100=0.105 |
    22 | train=1.478411 | val=nan | lr=0.01744 | t_train=12.72 | t_val=12.06 | mem=383.9 | psnr_b100=8.679, psnr_set14=8.791, psnr_set5=8.433, psnr_urban100=8.482, ssim_b100=0.011, ssim_set14=0.041, ssim_set5=0.022, ssim_urban100=0.126 |
    23 | train=1.302276 | val=nan | lr=0.0182 | t_train=12.85 | t_val=12.10 | mem=383.9 | psnr_b100=10.521, psnr_set14=10.562, psnr_set5=10.194, psnr_urban100=10.210, ssim_b100=0.023, ssim_set14=0.106, ssim_set5=0.068, ssim_urban100=0.273 |
    24 | train=1.142205 | val=nan | lr=0.01896 | t_train=12.78 | t_val=12.13 | mem=383.9 | psnr_b100=10.877, psnr_set14=10.568, psnr_set5=10.371, psnr_urban100=10.384, ssim_b100=0.025, ssim_set14=0.072, ssim_set5=0.051, ssim_urban100=0.319 |
    25 | train=0.634983 | val=nan | lr=0.01972 | t_train=12.73 | t_val=12.07 | mem=383.9 | psnr_b100=10.516, psnr_set14=10.355, psnr_set5=10.330, psnr_urban100=10.106, ssim_b100=0.020, ssim_set14=0.085, ssim_set5=0.053, ssim_urban100=0.294 |
    26 | train=1.464120 | val=nan | lr=0.02 | t_train=12.75 | t_val=12.11 | mem=383.9 | psnr_b100=14.015, psnr_set14=13.732, psnr_set5=14.062, psnr_urban100=13.480, ssim_b100=0.098, ssim_set14=0.220, ssim_set5=0.187, ssim_urban100=0.623 |
    27 | train=2.450134 | val=nan | lr=0.02 | t_train=12.76 | t_val=12.11 | mem=383.9 | psnr_b100=19.536, psnr_set14=18.967, psnr_set5=19.181, psnr_urban100=18.244, ssim_b100=0.239, ssim_set14=0.466, ssim_set5=0.392, ssim_urban100=0.812 |
    28 | train=2.840330 | val=nan | lr=0.02 | t_train=12.73 | t_val=12.08 | mem=383.9 | psnr_b100=20.195, psnr_set14=20.152, psnr_set5=20.876, psnr_urban100=19.204, ssim_b100=0.296, ssim_set14=0.508, ssim_set5=0.444, ssim_urban100=0.840 |
    29 | train=2.722063 | val=nan | lr=0.02 | t_train=12.74 | t_val=12.09 | mem=383.9 | psnr_b100=22.536, psnr_set14=22.538, psnr_set5=23.475, psnr_urban100=21.147, ssim_b100=0.413, ssim_set14=0.659, ssim_set5=0.575, ssim_urban100=0.895 |
    30 | train=2.178471 | val=nan | lr=0.02 | t_train=12.71 | t_val=12.06 | mem=383.9 | psnr_b100=21.966, psnr_set14=21.855, psnr_set5=22.926, psnr_urban100=20.488, ssim_b100=0.328, ssim_set14=0.486, ssim_set5=0.456, ssim_urban100=0.847 |
    31 | train=1.405287 | val=nan | lr=0.02 | t_train=12.77 | t_val=12.13 | mem=383.9 | psnr_b100=21.362, psnr_set14=21.246, psnr_set5=22.482, psnr_urban100=20.000, ssim_b100=0.289, ssim_set14=0.609, ssim_set5=0.503, ssim_urban100=0.846 |
    32 | train=0.717098 | val=nan | lr=0.02 | t_train=12.74 | t_val=12.10 | mem=383.9 | psnr_b100=22.369, psnr_set14=22.236, psnr_set5=23.207, psnr_urban100=20.829, ssim_b100=0.376, ssim_set14=0.644, ssim_set5=0.558, ssim_urban100=0.881 |
    33 | train=0.400032 | val=nan | lr=0.02 | t_train=12.77 | t_val=12.10 | mem=383.9 | psnr_b100=20.792, psnr_set14=20.956, psnr_set5=21.854, psnr_urban100=19.831, ssim_b100=0.324, ssim_set14=0.590, ssim_set5=0.538, ssim_urban100=0.865 |
    34 | train=0.229216 | val=nan | lr=0.02 | t_train=12.87 | t_val=12.13 | mem=383.9 | psnr_b100=20.625, psnr_set14=20.406, psnr_set5=21.072, psnr_urban100=19.373, ssim_b100=0.293, ssim_set14=0.562, ssim_set5=0.471, ssim_urban100=0.867 |
    35 | train=0.148929 | val=nan | lr=0.02 | t_train=12.76 | t_val=12.10 | mem=383.9 | psnr_b100=19.380, psnr_set14=19.158, psnr_set5=19.824, psnr_urban100=18.298, ssim_b100=0.301, ssim_set14=0.535, ssim_set5=0.477, ssim_urban100=0.840 |
    36 | train=0.104157 | val=nan | lr=0.02 | t_train=12.76 | t_val=12.10 | mem=383.9 | psnr_b100=20.125, psnr_set14=20.052, psnr_set5=20.872, psnr_urban100=19.103, ssim_b100=0.344, ssim_set14=0.617, ssim_set5=0.539, ssim_urban100=0.852 |
    37 | train=0.068974 | val=nan | lr=0.02 | t_train=12.68 | t_val=12.03 | mem=383.9 | psnr_b100=22.983, psnr_set14=22.538, psnr_set5=24.145, psnr_urban100=21.059, ssim_b100=0.450, ssim_set14=0.695, ssim_set5=0.641, ssim_urban100=0.894 |
    38 | train=0.056261 | val=nan | lr=0.02 | t_train=12.85 | t_val=12.20 | mem=383.9 | psnr_b100=22.916, psnr_set14=22.797, psnr_set5=23.957, psnr_urban100=21.354, ssim_b100=0.510, ssim_set14=0.706, ssim_set5=0.678, ssim_urban100=0.905 |
    39 | train=0.069127 | val=nan | lr=0.019964 | t_train=12.78 | t_val=12.13 | mem=383.9 | psnr_b100=22.723, psnr_set14=22.062, psnr_set5=23.569, psnr_urban100=20.686, ssim_b100=0.510, ssim_set14=0.694, ssim_set5=0.675, ssim_urban100=0.902 |
    40 | train=0.045571 | val=nan | lr=0.019926 | t_train=12.85 | t_val=12.20 | mem=383.9 | psnr_b100=24.034, psnr_set14=24.009, psnr_set5=26.064, psnr_urban100=21.845, ssim_b100=0.582, ssim_set14=0.748, ssim_set5=0.746, ssim_urban100=0.912 |
