    17 | train=0.005228 | val=nan | lr=0.00682 | t_train=12.76 | t_val=12.10 | mem=383.9 | psnr_b100=27.393, psnr_set14=28.039, psnr_set5=31.980, psnr_urban100=25.657, ssim_b100=0.730, ssim_set14=0.855, ssim_set5=0.908, ssim_urban100=0.957 |
    18 | train=0.007264 | val=nan | lr=0.0072 | t_train=12.79 | t_val=12.13 | mem=383.9 | psnr_b100=27.390, psnr_set14=28.073, psnr_set5=31.915, psnr_urban100=25.642, ssim_b100=0.730, ssim_set14=0.856, ssim_set5=0.907, ssim_urban100=0.958 |
    19 | train=0.011089 | val=nan | lr=0.00758 | t_train=12.70 | t_val=12.04 | mem=383.9 | psnr_b100=27.323, psnr_set14=27.871, psnr_set5=31.717, psnr_urban100=25.461, ssim_b100=0.726, ssim_set14=0.853, ssim_set5=0.903, ssim_urban100=0.957 |
    20 | train=0.022261 | val=nan | lr=0.00796 | t_train=12.71 | t_val=12.06 | mem=383.9 | psnr_b100=27.002, psnr_set14=27.571, psnr_set5=31.199, psnr_urban100=25.107, ssim_b100=0.705, ssim_set14=0.841, ssim_set5=0.886, ssim_urban100=0.954 |
    21 | train=0.014739 | val=nan | lr=0.00834 | t_train=12.66 | t_val=12.01 | mem=383.9 | psnr_b100=27.077, psnr_set14=27.584, psnr_set5=31.107, psnr_urban100=25.162, ssim_b100=0.706, ssim_set14=0.838, ssim_set5=0.879, ssim_urban100=0.954 |
    22 | train=0.010078 | val=nan | lr=0.00872 | t_train=12.70 | t_val=12.05 | mem=383.9 | psnr_b100=27.124, psnr_set14=27.686, psnr_set5=31.319, psnr_urban100=25.184, ssim_b100=0.716, ssim_set14=0.847, ssim_set5=0.892, ssim_urban100=0.955 |
    23 | train=0.011699 | val=nan | lr=0.0091 | t_train=12.86 | t_val=12.09 | mem=383.9 | psnr_b100=26.968, psnr_set14=27.408, psnr_set5=30.871, psnr_urban100=25.084, ssim_b100=0.699, ssim_set14=0.831, ssim_set5=0.869, ssim_urban100=0.953 |
    24 | train=0.009675 | val=nan | lr=0.00948 | t_train=12.71 | t_val=12.04 | mem=383.9 | psnr_b100=27.238, psnr_set14=27.769, psnr_set5=31.598, psnr_urban100=25.263, ssim_b100=0.722, ssim_set14=0.850, ssim_set5=0.897, ssim_urban100=0.955 |
    25 | train=0.008985 | val=nan | lr=0.00986 | t_train=12.67 | t_val=12.01 | mem=383.9 | psnr_b100=27.233, psnr_set14=27.799, psnr_set5=31.677, psnr_urban100=25.166, ssim_b100=0.724, ssim_set14=0.851, ssim_set5=0.902, ssim_urban100=0.953 |
    26 | train=0.020811 | val=nan | lr=0.01 | t_train=12.71 | t_val=12.06 | mem=383.9 | psnr_b100=27.175, psnr_set14=27.641, psnr_set5=31.425, psnr_urban100=25.077, ssim_b100=0.721, ssim_set14=0.848, ssim_set5=0.898, ssim_urban100=0.952 |
    27 | train=0.029569 | val=nan | lr=0.01 | t_train=12.73 | t_val=12.07 | mem=383.9 | psnr_b100=27.201, psnr_set14=27.776, psnr_set5=31.563, psnr_urban100=25.219, ssim_b100=0.718, ssim_set14=0.848, ssim_set5=0.897, ssim_urban100=0.953 |
    28 | train=0.035951 | val=nan | lr=0.01 | t_train=12.72 | t_val=12.07 | mem=383.9 | psnr_b100=27.236, psnr_set14=27.764, psnr_set5=31.532, psnr_urban100=25.247, ssim_b100=0.724, ssim_set14=0.849, ssim_set5=0.897, ssim_urban100=0.954 |
    29 | train=0.043944 | val=nan | lr=0.01 | t_train=12.76 | t_val=12.10 | mem=383.9 | psnr_b100=27.233, psnr_set14=27.771, psnr_set5=31.599, psnr_urban100=25.193, ssim_b100=0.725, ssim_set14=0.851, ssim_set5=0.901, ssim_urban100=0.953 |
    30 | train=0.051013 | val=nan | lr=0.01 | t_train=12.70 | t_val=12.05 | mem=383.9 | psnr_b100=27.153, psnr_set14=27.666, psnr_set5=31.509, psnr_urban100=25.165, ssim_b100=0.722, ssim_set14=0.850, ssim_set5=0.903, ssim_urban100=0.954 |
    31 | train=0.051559 | val=nan | lr=0.01 | t_train=12.72 | t_val=12.07 | mem=383.9 | psnr_b100=27.263, psnr_set14=27.760, psnr_set5=31.714, psnr_urban100=25.231, ssim_b100=0.725, ssim_set14=0.851, ssim_set5=0.902, ssim_urban100=0.954 |
    32 | train=0.053362 | val=nan | lr=0.01 | t_train=12.77 | t_val=12.11 | mem=383.9 | psnr_b100=27.163, psnr_set14=27.662, psnr_set5=31.481, psnr_urban100=25.056, ssim_b100=0.721, ssim_set14=0.848, ssim_set5=0.896, ssim_urban100=0.952 |
    33 | train=0.053485 | val=nan | lr=0.01 | t_train=12.71 | t_val=12.03 | mem=383.9 | psnr_b100=27.255, psnr_set14=27.785, psnr_set5=31.712, psnr_urban100=25.259, ssim_b100=0.724, ssim_set14=0.852, ssim_set5=0.904, ssim_urban100=0.954 |
    34 | train=0.050818 | val=nan | lr=0.01 | t_train=12.83 | t_val=12.10 | mem=383.9 | psnr_b100=27.146, psnr_set14=27.677, psnr_set5=31.353, psnr_urban100=25.085, ssim_b100=0.719, ssim_set14=0.849, ssim_set5=0.895, ssim_urban100=0.953 |
    35 | train=0.043711 | val=nan | lr=0.01 | t_train=12.70 | t_val=12.04 | mem=383.9 | psnr_b100=27.123, psnr_set14=27.599, psnr_set5=31.263, psnr_urban100=24.987, ssim_b100=0.716, ssim_set14=0.846, ssim_set5=0.889, ssim_urban100=0.951 |
    36 | train=0.041426 | val=nan | lr=0.01 | t_train=12.68 | t_val=12.04 | mem=383.9 | psnr_b100=27.015, psnr_set14=27.364, psnr_set5=31.062, psnr_urban100=24.735, ssim_b100=0.714, ssim_set14=0.844, ssim_set5=0.891, ssim_urban100=0.948 |
    37 | train=0.041426 | val=nan | lr=0.01 | t_train=12.69 | t_val=12.03 | mem=383.9 | psnr_b100=26.977, psnr_set14=27.302, psnr_set5=30.886, psnr_urban100=24.676, ssim_b100=0.711, ssim_set14=0.841, ssim_set5=0.885, ssim_urban100=0.947 |
    38 | train=0.482724 | val=nan | lr=0.01 | t_train=12.69 | t_val=12.04 | mem=383.9 | psnr_b100=11.571, psnr_set14=11.604, psnr_set5=12.318, psnr_urban100=11.507, ssim_b100=0.110, ssim_set14=0.255, ssim_set5=0.229, ssim_urban100=0.568 |
