     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.77 | mem=248.9 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.057, psnr_urban100=26.141, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.81 | mem=250.8 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.97 | mem=250.9 | psnr_b100=27.621, psnr_set14=28.303, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.68 | mem=250.9 | psnr_b100=27.618, psnr_set14=28.302, psnr_set5=32.055, psnr_urban100=26.139, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
# epoch | train_loss | val_loss | LR | t_train(s) | t_val(s) | gpu_mem(MB) | SRBench(psnr/ssim...)
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.48 | mem=250.9 |
     0 | train=0.000727 | val=nan | lr=0.00036 | t_train=12.90 | t_val=12.11 | mem=383.9 | psnr_b100=27.619, psnr_set14=28.298, psnr_set5=32.340, psnr_urban100=26.135, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     1 | train=0.000798 | val=nan | lr=0.00074 | t_train=12.69 | t_val=12.03 | mem=383.9 | psnr_b100=27.613, psnr_set14=28.292, psnr_set5=32.328, psnr_urban100=26.126, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     2 | train=0.000998 | val=nan | lr=0.00112 | t_train=12.87 | t_val=12.10 | mem=383.9 | psnr_b100=27.616, psnr_set14=28.282, psnr_set5=32.334, psnr_urban100=26.131, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     3 | train=0.001327 | val=nan | lr=0.0015 | t_train=12.72 | t_val=12.06 | mem=383.9 | psnr_b100=27.616, psnr_set14=28.294, psnr_set5=32.345, psnr_urban100=26.119, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     4 | train=0.002191 | val=nan | lr=0.00188 | t_train=12.70 | t_val=12.04 | mem=383.9 | psnr_b100=27.594, psnr_set14=28.252, psnr_set5=32.268, psnr_urban100=26.069, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
     5 | train=0.001720 | val=nan | lr=0.00226 | t_train=12.73 | t_val=12.07 | mem=383.9 | psnr_b100=27.604, psnr_set14=28.290, psnr_set5=32.320, psnr_urban100=26.089, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |
     6 | train=0.002434 | val=nan | lr=0.00264 | t_train=12.75 | t_val=12.08 | mem=383.9 | psnr_b100=27.594, psnr_set14=28.263, psnr_set5=32.335, psnr_urban100=26.084, ssim_b100=0.737, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
     7 | train=0.003377 | val=nan | lr=0.00302 | t_train=12.68 | t_val=12.03 | mem=383.9 | psnr_b100=27.557, psnr_set14=28.220, psnr_set5=32.240, psnr_urban100=26.008, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.961 |
     8 | train=0.002915 | val=nan | lr=0.0034 | t_train=12.74 | t_val=12.08 | mem=383.9 | psnr_b100=27.561, psnr_set14=28.210, psnr_set5=32.236, psnr_urban100=25.996, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.912, ssim_urban100=0.962 |
     9 | train=0.003469 | val=nan | lr=0.00378 | t_train=12.74 | t_val=12.08 | mem=383.9 | psnr_b100=27.560, psnr_set14=28.220, psnr_set5=32.230, psnr_urban100=26.001, ssim_b100=0.736, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.962 |
    10 | train=0.003295 | val=nan | lr=0.00416 | t_train=12.72 | t_val=12.07 | mem=383.9 | psnr_b100=27.562, psnr_set14=28.228, psnr_set5=32.249, psnr_urban100=25.960, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.961 |
    11 | train=0.004661 | val=nan | lr=0.00454 | t_train=12.68 | t_val=12.03 | mem=383.9 | psnr_b100=27.543, psnr_set14=28.207, psnr_set5=32.191, psnr_urban100=25.979, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.912, ssim_urban100=0.961 |
    12 | train=0.004402 | val=nan | lr=0.00492 | t_train=12.72 | t_val=12.07 | mem=383.9 | psnr_b100=27.515, psnr_set14=28.184, psnr_set5=32.194, psnr_urban100=25.888, ssim_b100=0.734, ssim_set14=0.858, ssim_set5=0.912, ssim_urban100=0.960 |
