# callback_metrics keys:
# PSNR/B100
# PSNR/Set14
# PSNR/Set5
# PSNR/Urban100
# SSIM/B100
# SSIM/Set14
# SSIM/Set5
# SSIM/Urban100
# Val_loss/B100
# Val_loss/B100_epoch
# Val_loss/Set14
# Val_loss/Set14_epoch
# Val_loss/Set5
# Val_loss/Set5_epoch
# Val_loss/Urban100
# Val_loss/Urban100_epoch
     3 | train=0.001568 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.0015 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.79 | t_val=12.04 | mem=383.9 | psnr_b100=27.609, psnr_set14=28.277, psnr_set5=32.319, psnr_urban100=26.105, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |  | a_actual_b100=8.926, a_actual_set14=9.065, a_actual_set5=8.915, a_actual_urban100=9.276, a_max_b100=9.690, a_max_set14=9.780, a_max_set5=9.796, a_max_urban100=9.873, a_mean_b100=10.004, a_mean_set14=10.004, a_mean_set5=10.004, a_mean_urban100=10.004, w_actual_b100=10.004, w_actual_set14=10.004, w_actual_set5=10.004, w_actual_urban100=10.004, w_max_b100=10.007, w_max_set14=10.007, w_max_set5=10.007, w_max_urban100=10.007, w_mean_b100=9.977, w_mean_set14=9.977, w_mean_set5=9.977, w_mean_urban100=9.977
     4 | train=0.001444 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00188 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.67 | t_val=12.01 | mem=383.9 | psnr_b100=27.606, psnr_set14=28.286, psnr_set5=32.319, psnr_urban100=26.110, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |  | a_actual_b100=8.941, a_actual_set14=9.075, a_actual_set5=8.923, a_actual_urban100=9.292, a_max_b100=9.688, a_max_set14=9.781, a_max_set5=9.801, a_max_urban100=9.877, a_mean_b100=10.006, a_mean_set14=10.006, a_mean_set5=10.006, a_mean_urban100=10.006, w_actual_b100=10.005, w_actual_set14=10.005, w_actual_set5=10.005, w_actual_urban100=10.005, w_max_b100=10.013, w_max_set14=10.013, w_max_set5=10.013, w_max_urban100=10.013, w_mean_b100=9.977, w_mean_set14=9.977, w_mean_set5=9.977, w_mean_urban100=9.977
     5 | train=0.001880 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00226 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.69 | t_val=12.04 | mem=383.9 | psnr_b100=27.589, psnr_set14=28.253, psnr_set5=32.302, psnr_urban100=26.062, ssim_b100=0.737, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |  | a_actual_b100=8.937, a_actual_set14=9.080, a_actual_set5=8.932, a_actual_urban100=9.291, a_max_b100=9.698, a_max_set14=9.795, a_max_set5=9.808, a_max_urban100=9.883, a_mean_b100=10.008, a_mean_set14=10.008, a_mean_set5=10.008, a_mean_urban100=10.008, w_actual_b100=10.007, w_actual_set14=10.007, w_actual_set5=10.007, w_actual_urban100=10.007, w_max_b100=10.014, w_max_set14=10.014, w_max_set5=10.014, w_max_urban100=10.014, w_mean_b100=9.978, w_mean_set14=9.978, w_mean_set5=9.978, w_mean_urban100=9.978
     6 | train=0.002926 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00264 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.61 | t_val=11.96 | mem=383.9 | psnr_b100=27.588, psnr_set14=28.261, psnr_set5=32.327, psnr_urban100=26.026, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |  | a_actual_b100=8.934, a_actual_set14=9.083, a_actual_set5=8.922, a_actual_urban100=9.293, a_max_b100=9.702, a_max_set14=9.808, a_max_set5=9.820, a_max_urban100=9.883, a_mean_b100=10.011, a_mean_set14=10.011, a_mean_set5=10.011, a_mean_urban100=10.011, w_actual_b100=10.011, w_actual_set14=10.011, w_actual_set5=10.011, w_actual_urban100=10.011, w_max_b100=10.022, w_max_set14=10.022, w_max_set5=10.022, w_max_urban100=10.022, w_mean_b100=9.978, w_mean_set14=9.978, w_mean_set5=9.978, w_mean_urban100=9.978
     7 | train=0.002849 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00302 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.86 | t_val=12.21 | mem=383.9 | psnr_b100=27.580, psnr_set14=28.266, psnr_set5=32.324, psnr_urban100=26.034, ssim_b100=0.737, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |  | a_actual_b100=8.921, a_actual_set14=9.069, a_actual_set5=8.918, a_actual_urban100=9.289, a_max_b100=9.696, a_max_set14=9.804, a_max_set5=9.840, a_max_urban100=9.892, a_mean_b100=10.013, a_mean_set14=10.013, a_mean_set5=10.013, a_mean_urban100=10.013, w_actual_b100=10.014, w_actual_set14=10.014, w_actual_set5=10.014, w_actual_urban100=10.014, w_max_b100=10.038, w_max_set14=10.038, w_max_set5=10.038, w_max_urban100=10.038, w_mean_b100=9.978, w_mean_set14=9.978, w_mean_set5=9.978, w_mean_urban100=9.978
     8 | train=0.002745 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.0034 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.68 | t_val=12.03 | mem=383.9 | psnr_b100=27.580, psnr_set14=28.220, psnr_set5=32.259, psnr_urban100=26.042, ssim_b100=0.737, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.962 |  | a_actual_b100=8.917, a_actual_set14=9.071, a_actual_set5=8.919, a_actual_urban100=9.287, a_max_b100=9.703, a_max_set14=9.813, a_max_set5=9.830, a_max_urban100=9.894, a_mean_b100=10.016, a_mean_set14=10.016, a_mean_set5=10.016, a_mean_urban100=10.016, w_actual_b100=10.017, w_actual_set14=10.017, w_actual_set5=10.017, w_actual_urban100=10.017, w_max_b100=10.035, w_max_set14=10.035, w_max_set5=10.035, w_max_urban100=10.035, w_mean_b100=9.978, w_mean_set14=9.978, w_mean_set5=9.978, w_mean_urban100=9.978
     9 | train=0.004333 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00378 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.65 | t_val=12.01 | mem=383.9 | psnr_b100=27.543, psnr_set14=28.190, psnr_set5=32.175, psnr_urban100=26.005, ssim_b100=0.736, ssim_set14=0.859, ssim_set5=0.912, ssim_urban100=0.962 |  | a_actual_b100=8.948, a_actual_set14=9.092, a_actual_set5=8.930, a_actual_urban100=9.318, a_max_b100=9.711, a_max_set14=9.818, a_max_set5=9.840, a_max_urban100=9.907, a_mean_b100=10.020, a_mean_set14=10.020, a_mean_set5=10.020, a_mean_urban100=10.020, w_actual_b100=10.021, w_actual_set14=10.021, w_actual_set5=10.021, w_actual_urban100=10.021, w_max_b100=10.050, w_max_set14=10.050, w_max_set5=10.050, w_max_urban100=10.050, w_mean_b100=9.977, w_mean_set14=9.977, w_mean_set5=9.977, w_mean_urban100=9.977
    10 | train=0.003381 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00416 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.65 | t_val=12.00 | mem=383.9 | psnr_b100=27.505, psnr_set14=28.152, psnr_set5=32.113, psnr_urban100=25.875, ssim_b100=0.734, ssim_set14=0.858, ssim_set5=0.911, ssim_urban100=0.961 |  | a_actual_b100=8.946, a_actual_set14=9.101, a_actual_set5=8.931, a_actual_urban100=9.317, a_max_b100=9.715, a_max_set14=9.826, a_max_set5=9.837, a_max_urban100=9.919, a_mean_b100=10.024, a_mean_set14=10.024, a_mean_set5=10.024, a_mean_urban100=10.024, w_actual_b100=10.025, w_actual_set14=10.025, w_actual_set5=10.025, w_actual_urban100=10.025, w_max_b100=10.054, w_max_set14=10.054, w_max_set5=10.054, w_max_urban100=10.054, w_mean_b100=9.977, w_mean_set14=9.977, w_mean_set5=9.977, w_mean_urban100=9.977
    11 | train=0.006261 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00454 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.61 | t_val=11.94 | mem=383.9 | psnr_b100=27.442, psnr_set14=28.064, psnr_set5=32.038, psnr_urban100=25.733, ssim_b100=0.732, ssim_set14=0.857, ssim_set5=0.909, ssim_urban100=0.959 |  | a_actual_b100=8.993, a_actual_set14=9.148, a_actual_set5=8.987, a_actual_urban100=9.350, a_max_b100=9.753, a_max_set14=9.869, a_max_set5=9.885, a_max_urban100=9.943, a_mean_b100=10.027, a_mean_set14=10.027, a_mean_set5=10.027, a_mean_urban100=10.027, w_actual_b100=10.027, w_actual_set14=10.027, w_actual_set5=10.027, w_actual_urban100=10.027, w_max_b100=10.050, w_max_set14=10.050, w_max_set5=10.050, w_max_urban100=10.050, w_mean_b100=9.977, w_mean_set14=9.977, w_mean_set5=9.977, w_mean_urban100=9.977
    12 | train=0.003653 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00492 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.66 | t_val=12.01 | mem=383.9 | psnr_b100=27.444, psnr_set14=28.118, psnr_set5=32.107, psnr_urban100=25.742, ssim_b100=0.732, ssim_set14=0.857, ssim_set5=0.911, ssim_urban100=0.959 |  | a_actual_b100=8.942, a_actual_set14=9.090, a_actual_set5=8.915, a_actual_urban100=9.292, a_max_b100=9.736, a_max_set14=9.847, a_max_set5=9.857, a_max_urban100=9.921, a_mean_b100=10.029, a_mean_set14=10.029, a_mean_set5=10.029, a_mean_urban100=10.029, w_actual_b100=10.034, w_actual_set14=10.034, w_actual_set5=10.034, w_actual_urban100=10.034, w_max_b100=10.109, w_max_set14=10.109, w_max_set5=10.109, w_max_urban100=10.109, w_mean_b100=9.979, w_mean_set14=9.979, w_mean_set5=9.979, w_mean_urban100=9.979
