     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.75 | mem=248.9 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.057, psnr_urban100=26.141, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.57 | mem=250.8 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.77 | mem=250.9 | psnr_b100=27.621, psnr_set14=28.303, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.43 | mem=250.9 | psnr_b100=27.618, psnr_set14=28.302, psnr_set5=32.055, psnr_urban100=26.139, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
# epoch | train_loss | val_loss | LR | t_train(s) | t_val(s) | gpu_mem(MB) | SRBench(psnr/ssim...)
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.47 | mem=250.9 |
     0 | train=0.000766 | val=nan | lr=7.2e-05 | t_train=12.97 | t_val=12.18 | mem=383.9 | psnr_b100=27.619, psnr_set14=28.300, psnr_set5=32.343, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     1 | train=0.000848 | val=nan | lr=0.000148 | t_train=12.79 | t_val=12.14 | mem=383.9 | psnr_b100=27.618, psnr_set14=28.299, psnr_set5=32.343, psnr_urban100=26.137, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     2 | train=0.000728 | val=nan | lr=0.000224 | t_train=12.89 | t_val=12.12 | mem=383.9 | psnr_b100=27.619, psnr_set14=28.301, psnr_set5=32.341, psnr_urban100=26.135, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     3 | train=0.000713 | val=nan | lr=0.0003 | t_train=12.73 | t_val=12.07 | mem=383.9 | psnr_b100=27.617, psnr_set14=28.297, psnr_set5=32.338, psnr_urban100=26.133, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     4 | train=0.000792 | val=nan | lr=0.000376 | t_train=12.78 | t_val=12.14 | mem=383.9 | psnr_b100=27.619, psnr_set14=28.299, psnr_set5=32.345, psnr_urban100=26.132, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     5 | train=0.000934 | val=nan | lr=0.000452 | t_train=12.74 | t_val=12.09 | mem=383.9 | psnr_b100=27.617, psnr_set14=28.302, psnr_set5=32.337, psnr_urban100=26.132, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     6 | train=0.001069 | val=nan | lr=0.000528 | t_train=12.75 | t_val=12.11 | mem=383.9 | psnr_b100=27.618, psnr_set14=28.303, psnr_set5=32.350, psnr_urban100=26.137, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.915, ssim_urban100=0.963 |
     7 | train=0.001163 | val=nan | lr=0.000604 | t_train=12.79 | t_val=12.14 | mem=383.9 | psnr_b100=27.614, psnr_set14=28.287, psnr_set5=32.348, psnr_urban100=26.121, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     8 | train=0.001092 | val=nan | lr=0.00068 | t_train=12.77 | t_val=12.11 | mem=383.9 | psnr_b100=27.613, psnr_set14=28.286, psnr_set5=32.328, psnr_urban100=26.126, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     9 | train=0.001461 | val=nan | lr=0.000756 | t_train=12.81 | t_val=12.15 | mem=383.9 | psnr_b100=27.612, psnr_set14=28.296, psnr_set5=32.338, psnr_urban100=26.115, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
    10 | train=0.001149 | val=nan | lr=0.000832 | t_train=12.83 | t_val=12.18 | mem=383.9 | psnr_b100=27.609, psnr_set14=28.289, psnr_set5=32.333, psnr_urban100=26.122, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
    11 | train=0.001592 | val=nan | lr=0.000908 | t_train=12.79 | t_val=12.14 | mem=383.9 | psnr_b100=27.612, psnr_set14=28.305, psnr_set5=32.338, psnr_urban100=26.108, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
    12 | train=0.001686 | val=nan | lr=0.000984 | t_train=12.83 | t_val=12.17 | mem=383.9 | psnr_b100=27.606, psnr_set14=28.294, psnr_set5=32.317, psnr_urban100=26.103, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |
    13 | train=0.001810 | val=nan | lr=0.00106 | t_train=12.76 | t_val=12.10 | mem=383.9 | psnr_b100=27.600, psnr_set14=28.278, psnr_set5=32.317, psnr_urban100=26.097, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |
    14 | train=0.001383 | val=nan | lr=0.001136 | t_train=12.80 | t_val=12.16 | mem=383.9 | psnr_b100=27.588, psnr_set14=28.261, psnr_set5=32.270, psnr_urban100=26.052, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.913, ssim_urban100=0.962 |
    15 | train=0.002053 | val=nan | lr=0.001212 | t_train=12.75 | t_val=12.11 | mem=383.9 | psnr_b100=27.603, psnr_set14=28.279, psnr_set5=32.327, psnr_urban100=26.096, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
    16 | train=0.001792 | val=nan | lr=0.001288 | t_train=12.83 | t_val=12.17 | mem=383.9 | psnr_b100=27.595, psnr_set14=28.286, psnr_set5=32.311, psnr_urban100=26.088, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |
    17 | train=0.001715 | val=nan | lr=0.001364 | t_train=12.78 | t_val=12.13 | mem=383.9 | psnr_b100=27.594, psnr_set14=28.300, psnr_set5=32.316, psnr_urban100=26.081, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
    18 | train=0.002380 | val=nan | lr=0.00144 | t_train=12.78 | t_val=12.12 | mem=383.9 | psnr_b100=27.567, psnr_set14=28.253, psnr_set5=32.267, psnr_urban100=26.036, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.962 |
    19 | train=0.002827 | val=nan | lr=0.001516 | t_train=12.75 | t_val=12.10 | mem=383.9 | psnr_b100=27.573, psnr_set14=28.246, psnr_set5=32.321, psnr_urban100=26.024, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
    20 | train=0.002402 | val=nan | lr=0.001592 | t_train=12.73 | t_val=12.07 | mem=383.9 | psnr_b100=27.554, psnr_set14=28.236, psnr_set5=32.316, psnr_urban100=26.018, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.961 |
    21 | train=0.002494 | val=nan | lr=0.001668 | t_train=12.78 | t_val=12.13 | mem=383.9 | psnr_b100=27.560, psnr_set14=28.210, psnr_set5=32.319, psnr_urban100=25.994, ssim_b100=0.736, ssim_set14=0.859, ssim_set5=0.914, ssim_urban100=0.961 |
    22 | train=0.003441 | val=nan | lr=0.001744 | t_train=12.81 | t_val=12.15 | mem=383.9 | psnr_b100=27.555, psnr_set14=28.234, psnr_set5=32.271, psnr_urban100=25.991, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.961 |
    23 | train=0.003020 | val=nan | lr=0.00182 | t_train=12.91 | t_val=12.14 | mem=383.9 | psnr_b100=27.557, psnr_set14=28.267, psnr_set5=32.268, psnr_urban100=26.001, ssim_b100=0.735, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.962 |
    24 | train=0.002641 | val=nan | lr=0.001896 | t_train=12.79 | t_val=12.11 | mem=383.9 | psnr_b100=27.549, psnr_set14=28.227, psnr_set5=32.264, psnr_urban100=25.993, ssim_b100=0.735, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.962 |
    25 | train=0.002050 | val=nan | lr=0.001972 | t_train=12.80 | t_val=12.15 | mem=383.9 | psnr_b100=27.548, psnr_set14=28.242, psnr_set5=32.255, psnr_urban100=25.980, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.961 |
